"model","agent","bias","bias_se","mse","mse_se","n_reps"
"A","citalopram",0.0536,0.0224,0.0479,0.0065,91
"A","escitalopram",0.0723,0.0206,0.0433,0.0068,91
"A","fluoxetine",0.0202,0.0187,0.032,0.0037,91
"A","paroxetine",0.0418,0.0166,0.0267,0.0036,91
"A","sertraline",0.0615,0.0341,0.1082,0.0148,91
"B","citalopram",3e-04,0.021,0.0403,0.0057,92
"B","escitalopram",0.0407,0.0182,0.032,0.0049,92
"B","fluoxetine",0.0112,0.0171,0.0266,0.0031,92
"B","paroxetine",-0.0062,0.0157,0.0225,0.0032,92
"B","sertraline",0.0299,0.0331,0.1007,0.0154,92
"Ref","citalopram",0.0918,0.0224,0.0569,0.0075,98
"Ref","escitalopram",0.1063,0.0217,0.057,0.0082,98
"Ref","fluoxetine",0.0402,0.019,0.0367,0.0043,98
"Ref","paroxetine",0.0914,0.0173,0.0373,0.0047,98
"Ref","sertraline",0.061,0.0355,0.1257,0.0172,98
"Lumped","citalopram",-0.3102,0.0216,0.1374,0.0145,89
"Lumped","escitalopram",-0.2014,0.0155,0.0618,0.0066,89
"Lumped","fluoxetine",-0.1284,0.0111,0.0274,0.0031,89
"Lumped","paroxetine",-0.2515,0.0123,0.0765,0.0064,89
"Lumped","sertraline",-0.1568,0.035,0.1326,0.0176,89
