"model","agent","true_rank","mean_est_rank","mean_abs_error","n_reps"
"A","citalopram",1,2.1,1.1,91
"A","escitalopram",3,3.06,0.63,91
"A","fluoxetine",5,4.43,0.57,91
"A","paroxetine",2,2.18,0.5,91
"A","sertraline",4,3.23,0.95,91
"B","citalopram",1,2.12,1.12,92
"B","escitalopram",3,3.04,0.61,92
"B","fluoxetine",5,4.42,0.58,92
"B","paroxetine",2,2.2,0.5,92
"B","sertraline",4,3.22,0.96,92
"Ref","citalopram",1,2.12,1.12,98
"Ref","escitalopram",3,3.04,0.64,98
"Ref","fluoxetine",5,4.39,0.61,98
"Ref","paroxetine",2,2.15,0.51,98
"Ref","sertraline",4,3.3,0.9,98
"Lumped","citalopram",1,2.41,1.41,89
"Lumped","escitalopram",3,3.08,0.61,89
"Lumped","fluoxetine",5,4.3,0.7,89
"Lumped","paroxetine",2,2.11,0.48,89
"Lumped","sertraline",4,3.09,1.09,89
