"model","agent","true_rank","sucra","sucra_sd","n_reps"
"A","citalopram",1,0.725,0.185,91
"A","escitalopram",3,0.485,0.192,91
"A","fluoxetine",5,0.143,0.109,91
"A","paroxetine",2,0.705,0.157,91
"A","sertraline",4,0.442,0.227,91
"B","citalopram",1,0.72,0.186,92
"B","escitalopram",3,0.489,0.185,92
"B","fluoxetine",5,0.144,0.104,92
"B","paroxetine",2,0.701,0.155,92
"B","sertraline",4,0.445,0.231,92
"Ref","citalopram",1,0.72,0.185,98
"Ref","escitalopram",3,0.49,0.196,98
"Ref","fluoxetine",5,0.153,0.11,98
"Ref","paroxetine",2,0.713,0.159,98
"Ref","sertraline",4,0.424,0.227,98
"Lumped","citalopram",1,0.646,0.194,89
"Lumped","escitalopram",3,0.479,0.184,89
"Lumped","fluoxetine",5,0.174,0.109,89
"Lumped","paroxetine",2,0.722,0.149,89
"Lumped","sertraline",4,0.478,0.265,89
