"model","agent","bias","n_reps","n_h2h","scenario"
"A","citalopram",0.0528,91,5,"5 (cycle)"
"A","escitalopram",0.0165,91,5,"5 (cycle)"
"A","fluoxetine",0.0292,91,5,"5 (cycle)"
"A","paroxetine",0.0476,91,5,"5 (cycle)"
"A","sertraline",0.0632,91,5,"5 (cycle)"
"B","citalopram",0.0112,91,5,"5 (cycle)"
"B","escitalopram",-0.0131,91,5,"5 (cycle)"
"B","fluoxetine",0.0122,91,5,"5 (cycle)"
"B","paroxetine",0.002,91,5,"5 (cycle)"
"B","sertraline",0.0394,91,5,"5 (cycle)"
"Ref","citalopram",0.1094,91,5,"5 (cycle)"
"Ref","escitalopram",0.0583,91,5,"5 (cycle)"
"Ref","fluoxetine",0.044,91,5,"5 (cycle)"
"Ref","paroxetine",0.0977,91,5,"5 (cycle)"
"Ref","sertraline",0.0807,91,5,"5 (cycle)"
"Lumped","citalopram",-0.2752,84,5,"5 (cycle)"
"Lumped","escitalopram",-0.2232,84,5,"5 (cycle)"
"Lumped","fluoxetine",-0.0889,84,5,"5 (cycle)"
"Lumped","paroxetine",-0.2656,84,5,"5 (cycle)"
"Lumped","sertraline",-0.1651,84,5,"5 (cycle)"
"A","citalopram",0.0432,89,10,"10 (complete×1)"
"A","escitalopram",0.0627,89,10,"10 (complete×1)"
"A","fluoxetine",0.003,89,10,"10 (complete×1)"
"A","paroxetine",0.0483,89,10,"10 (complete×1)"
"A","sertraline",0.0485,89,10,"10 (complete×1)"
"B","citalopram",1e-04,89,10,"10 (complete×1)"
"B","escitalopram",0.0337,89,10,"10 (complete×1)"
"B","fluoxetine",0.0011,89,10,"10 (complete×1)"
"B","paroxetine",0.0054,89,10,"10 (complete×1)"
"B","sertraline",0.0291,89,10,"10 (complete×1)"
"Ref","citalopram",0.0955,98,10,"10 (complete×1)"
"Ref","escitalopram",0.1069,98,10,"10 (complete×1)"
"Ref","fluoxetine",0.013,98,10,"10 (complete×1)"
"Ref","paroxetine",0.1114,98,10,"10 (complete×1)"
"Ref","sertraline",0.073,98,10,"10 (complete×1)"
"Lumped","citalopram",-0.3488,86,10,"10 (complete×1)"
"Lumped","escitalopram",-0.2387,86,10,"10 (complete×1)"
"Lumped","fluoxetine",-0.0961,86,10,"10 (complete×1)"
"Lumped","paroxetine",-0.2481,86,10,"10 (complete×1)"
"Lumped","sertraline",-0.2127,86,10,"10 (complete×1)"
"A","citalopram",0.0727,91,20,"20 (complete×2)"
"A","escitalopram",0.0477,91,20,"20 (complete×2)"
"A","fluoxetine",0.0116,91,20,"20 (complete×2)"
"A","paroxetine",0.039,91,20,"20 (complete×2)"
"A","sertraline",0.0717,91,20,"20 (complete×2)"
"B","citalopram",0.0259,96,20,"20 (complete×2)"
"B","escitalopram",0.0164,96,20,"20 (complete×2)"
"B","fluoxetine",0.0016,96,20,"20 (complete×2)"
"B","paroxetine",-0.011,96,20,"20 (complete×2)"
"B","sertraline",0.0524,96,20,"20 (complete×2)"
"Ref","citalopram",0.1285,98,20,"20 (complete×2)"
"Ref","escitalopram",0.085,98,20,"20 (complete×2)"
"Ref","fluoxetine",0.0184,98,20,"20 (complete×2)"
"Ref","paroxetine",0.0906,98,20,"20 (complete×2)"
"Ref","sertraline",0.0974,98,20,"20 (complete×2)"
"Lumped","citalopram",-0.323,89,20,"20 (complete×2)"
"Lumped","escitalopram",-0.2099,89,20,"20 (complete×2)"
"Lumped","fluoxetine",-0.0845,89,20,"20 (complete×2)"
"Lumped","paroxetine",-0.2631,89,20,"20 (complete×2)"
"Lumped","sertraline",-0.1817,89,20,"20 (complete×2)"
"A","citalopram",0.0465,95,40,"40 (complete×4)"
"A","escitalopram",0.0603,95,40,"40 (complete×4)"
"A","fluoxetine",0.0528,95,40,"40 (complete×4)"
"A","paroxetine",0.0522,95,40,"40 (complete×4)"
"A","sertraline",0.1004,95,40,"40 (complete×4)"
"B","citalopram",-0.0035,94,40,"40 (complete×4)"
"B","escitalopram",0.0284,94,40,"40 (complete×4)"
"B","fluoxetine",0.0471,94,40,"40 (complete×4)"
"B","paroxetine",0.0074,94,40,"40 (complete×4)"
"B","sertraline",0.0631,94,40,"40 (complete×4)"
"Ref","citalopram",0.1084,97,40,"40 (complete×4)"
"Ref","escitalopram",0.0965,97,40,"40 (complete×4)"
"Ref","fluoxetine",0.0604,97,40,"40 (complete×4)"
"Ref","paroxetine",0.102,97,40,"40 (complete×4)"
"Ref","sertraline",0.1291,97,40,"40 (complete×4)"
"Lumped","citalopram",-0.3514,95,40,"40 (complete×4)"
"Lumped","escitalopram",-0.201,95,40,"40 (complete×4)"
"Lumped","fluoxetine",-0.0632,95,40,"40 (complete×4)"
"Lumped","paroxetine",-0.2611,95,40,"40 (complete×4)"
"Lumped","sertraline",-0.195,95,40,"40 (complete×4)"
