"model","agent","coverage","n_reps","n_h2h","scenario"
"A","citalopram",0.89,91,5,"5 (cycle)"
"A","escitalopram",0.956,91,5,"5 (cycle)"
"A","fluoxetine",0.923,91,5,"5 (cycle)"
"A","paroxetine",0.901,91,5,"5 (cycle)"
"A","sertraline",0.923,91,5,"5 (cycle)"
"B","citalopram",0.923,91,5,"5 (cycle)"
"B","escitalopram",0.956,91,5,"5 (cycle)"
"B","fluoxetine",0.923,91,5,"5 (cycle)"
"B","paroxetine",0.967,91,5,"5 (cycle)"
"B","sertraline",0.945,91,5,"5 (cycle)"
"Ref","citalopram",0.846,91,5,"5 (cycle)"
"Ref","escitalopram",0.967,91,5,"5 (cycle)"
"Ref","fluoxetine",0.923,91,5,"5 (cycle)"
"Ref","paroxetine",0.89,91,5,"5 (cycle)"
"Ref","sertraline",0.945,91,5,"5 (cycle)"
"Lumped","citalopram",0.643,84,5,"5 (cycle)"
"Lumped","escitalopram",0.714,84,5,"5 (cycle)"
"Lumped","fluoxetine",0.857,84,5,"5 (cycle)"
"Lumped","paroxetine",0.274,84,5,"5 (cycle)"
"Lumped","sertraline",0.869,84,5,"5 (cycle)"
"A","citalopram",0.944,89,10,"10 (complete×1)"
"A","escitalopram",0.966,89,10,"10 (complete×1)"
"A","fluoxetine",0.966,89,10,"10 (complete×1)"
"A","paroxetine",0.921,89,10,"10 (complete×1)"
"A","sertraline",0.944,89,10,"10 (complete×1)"
"B","citalopram",0.955,89,10,"10 (complete×1)"
"B","escitalopram",0.966,89,10,"10 (complete×1)"
"B","fluoxetine",0.955,89,10,"10 (complete×1)"
"B","paroxetine",0.944,89,10,"10 (complete×1)"
"B","sertraline",0.944,89,10,"10 (complete×1)"
"Ref","citalopram",0.929,98,10,"10 (complete×1)"
"Ref","escitalopram",0.939,98,10,"10 (complete×1)"
"Ref","fluoxetine",0.929,98,10,"10 (complete×1)"
"Ref","paroxetine",0.867,98,10,"10 (complete×1)"
"Ref","sertraline",0.949,98,10,"10 (complete×1)"
"Lumped","citalopram",0.384,86,10,"10 (complete×1)"
"Lumped","escitalopram",0.57,86,10,"10 (complete×1)"
"Lumped","fluoxetine",0.872,86,10,"10 (complete×1)"
"Lumped","paroxetine",0.326,86,10,"10 (complete×1)"
"Lumped","sertraline",0.826,86,10,"10 (complete×1)"
"A","citalopram",0.945,91,20,"20 (complete×2)"
"A","escitalopram",0.945,91,20,"20 (complete×2)"
"A","fluoxetine",0.989,91,20,"20 (complete×2)"
"A","paroxetine",0.945,91,20,"20 (complete×2)"
"A","sertraline",0.934,91,20,"20 (complete×2)"
"B","citalopram",0.938,96,20,"20 (complete×2)"
"B","escitalopram",0.969,96,20,"20 (complete×2)"
"B","fluoxetine",0.979,96,20,"20 (complete×2)"
"B","paroxetine",0.969,96,20,"20 (complete×2)"
"B","sertraline",0.938,96,20,"20 (complete×2)"
"Ref","citalopram",0.888,98,20,"20 (complete×2)"
"Ref","escitalopram",0.939,98,20,"20 (complete×2)"
"Ref","fluoxetine",0.98,98,20,"20 (complete×2)"
"Ref","paroxetine",0.918,98,20,"20 (complete×2)"
"Ref","sertraline",0.949,98,20,"20 (complete×2)"
"Lumped","citalopram",0.337,89,20,"20 (complete×2)"
"Lumped","escitalopram",0.573,89,20,"20 (complete×2)"
"Lumped","fluoxetine",0.888,89,20,"20 (complete×2)"
"Lumped","paroxetine",0.213,89,20,"20 (complete×2)"
"Lumped","sertraline",0.753,89,20,"20 (complete×2)"
"A","citalopram",0.937,95,40,"40 (complete×4)"
"A","escitalopram",0.937,95,40,"40 (complete×4)"
"A","fluoxetine",0.958,95,40,"40 (complete×4)"
"A","paroxetine",0.937,95,40,"40 (complete×4)"
"A","sertraline",0.958,95,40,"40 (complete×4)"
"B","citalopram",0.936,94,40,"40 (complete×4)"
"B","escitalopram",0.968,94,40,"40 (complete×4)"
"B","fluoxetine",0.968,94,40,"40 (complete×4)"
"B","paroxetine",0.947,94,40,"40 (complete×4)"
"B","sertraline",0.979,94,40,"40 (complete×4)"
"Ref","citalopram",0.887,97,40,"40 (complete×4)"
"Ref","escitalopram",0.928,97,40,"40 (complete×4)"
"Ref","fluoxetine",0.948,97,40,"40 (complete×4)"
"Ref","paroxetine",0.876,97,40,"40 (complete×4)"
"Ref","sertraline",0.948,97,40,"40 (complete×4)"
"Lumped","citalopram",0.137,95,40,"40 (complete×4)"
"Lumped","escitalopram",0.516,95,40,"40 (complete×4)"
"Lumped","fluoxetine",0.916,95,40,"40 (complete×4)"
"Lumped","paroxetine",0.168,95,40,"40 (complete×4)"
"Lumped","sertraline",0.621,95,40,"40 (complete×4)"
