"n_h2h","scenario","model","agent","median_width","mean_width","n_reps"
5,"5 (cycle)","A","citalopram",0.78,0.793,91
5,"5 (cycle)","A","escitalopram",0.758,0.754,91
5,"5 (cycle)","A","fluoxetine",0.672,0.679,91
5,"5 (cycle)","A","paroxetine",0.558,0.563,91
5,"5 (cycle)","A","sertraline",1.239,1.271,91
5,"5 (cycle)","B","citalopram",0.76,0.773,91
5,"5 (cycle)","B","escitalopram",0.72,0.717,91
5,"5 (cycle)","B","fluoxetine",0.627,0.635,91
5,"5 (cycle)","B","paroxetine",0.562,0.562,91
5,"5 (cycle)","B","sertraline",1.164,1.187,91
5,"5 (cycle)","Ref","citalopram",0.846,0.86,91
5,"5 (cycle)","Ref","escitalopram",0.816,0.814,91
5,"5 (cycle)","Ref","fluoxetine",0.726,0.733,91
5,"5 (cycle)","Ref","paroxetine",0.606,0.607,91
5,"5 (cycle)","Ref","sertraline",1.351,1.379,91
5,"5 (cycle)","Lumped","citalopram",0.726,0.73,84
5,"5 (cycle)","Lumped","escitalopram",0.581,0.585,84
5,"5 (cycle)","Lumped","fluoxetine",0.44,0.436,84
5,"5 (cycle)","Lumped","paroxetine",0.416,0.419,84
5,"5 (cycle)","Lumped","sertraline",0.889,0.89,84
10,"10 (complete×1)","A","citalopram",0.745,0.755,89
10,"10 (complete×1)","A","escitalopram",0.732,0.731,89
10,"10 (complete×1)","A","fluoxetine",0.65,0.654,89
10,"10 (complete×1)","A","paroxetine",0.553,0.552,89
10,"10 (complete×1)","A","sertraline",1.144,1.164,89
10,"10 (complete×1)","B","citalopram",0.728,0.734,89
10,"10 (complete×1)","B","escitalopram",0.694,0.698,89
10,"10 (complete×1)","B","fluoxetine",0.609,0.609,89
10,"10 (complete×1)","B","paroxetine",0.55,0.549,89
10,"10 (complete×1)","B","sertraline",1.074,1.08,89
10,"10 (complete×1)","Ref","citalopram",0.8,0.801,98
10,"10 (complete×1)","Ref","escitalopram",0.78,0.783,98
10,"10 (complete×1)","Ref","fluoxetine",0.697,0.702,98
10,"10 (complete×1)","Ref","paroxetine",0.582,0.583,98
10,"10 (complete×1)","Ref","sertraline",1.23,1.248,98
10,"10 (complete×1)","Lumped","citalopram",0.618,0.628,86
10,"10 (complete×1)","Lumped","escitalopram",0.532,0.532,86
10,"10 (complete×1)","Lumped","fluoxetine",0.411,0.412,86
10,"10 (complete×1)","Lumped","paroxetine",0.4,0.399,86
10,"10 (complete×1)","Lumped","sertraline",0.723,0.729,86
20,"20 (complete×2)","A","citalopram",0.71,0.715,91
20,"20 (complete×2)","A","escitalopram",0.693,0.695,91
20,"20 (complete×2)","A","fluoxetine",0.633,0.631,91
20,"20 (complete×2)","A","paroxetine",0.519,0.522,91
20,"20 (complete×2)","A","sertraline",1.079,1.097,91
20,"20 (complete×2)","B","citalopram",0.701,0.703,96
20,"20 (complete×2)","B","escitalopram",0.662,0.662,96
20,"20 (complete×2)","B","fluoxetine",0.59,0.59,96
20,"20 (complete×2)","B","paroxetine",0.527,0.529,96
20,"20 (complete×2)","B","sertraline",1.003,1.015,96
20,"20 (complete×2)","Ref","citalopram",0.762,0.769,98
20,"20 (complete×2)","Ref","escitalopram",0.749,0.754,98
20,"20 (complete×2)","Ref","fluoxetine",0.682,0.685,98
20,"20 (complete×2)","Ref","paroxetine",0.553,0.558,98
20,"20 (complete×2)","Ref","sertraline",1.197,1.21,98
20,"20 (complete×2)","Lumped","citalopram",0.531,0.536,89
20,"20 (complete×2)","Lumped","escitalopram",0.476,0.475,89
20,"20 (complete×2)","Lumped","fluoxetine",0.386,0.388,89
20,"20 (complete×2)","Lumped","paroxetine",0.373,0.378,89
20,"20 (complete×2)","Lumped","sertraline",0.587,0.596,89
40,"40 (complete×4)","A","citalopram",0.659,0.662,95
40,"40 (complete×4)","A","escitalopram",0.65,0.653,95
40,"40 (complete×4)","A","fluoxetine",0.583,0.591,95
40,"40 (complete×4)","A","paroxetine",0.491,0.495,95
40,"40 (complete×4)","A","sertraline",0.979,0.977,95
40,"40 (complete×4)","B","citalopram",0.675,0.668,94
40,"40 (complete×4)","B","escitalopram",0.641,0.639,94
40,"40 (complete×4)","B","fluoxetine",0.56,0.56,94
40,"40 (complete×4)","B","paroxetine",0.512,0.513,94
40,"40 (complete×4)","B","sertraline",0.898,0.913,94
40,"40 (complete×4)","Ref","citalopram",0.73,0.727,97
40,"40 (complete×4)","Ref","escitalopram",0.716,0.719,97
40,"40 (complete×4)","Ref","fluoxetine",0.648,0.651,97
40,"40 (complete×4)","Ref","paroxetine",0.53,0.53,97
40,"40 (complete×4)","Ref","sertraline",1.099,1.113,97
40,"40 (complete×4)","Lumped","citalopram",0.443,0.441,95
40,"40 (complete×4)","Lumped","escitalopram",0.411,0.408,95
40,"40 (complete×4)","Lumped","fluoxetine",0.346,0.35,95
40,"40 (complete×4)","Lumped","paroxetine",0.343,0.341,95
40,"40 (complete×4)","Lumped","sertraline",0.467,0.467,95
