"model","median_rho","mean_rho","q25","q75","n_reps","n_h2h","scenario"
"A",0.7,0.70989010989011,0.6,0.9,91,5,"5 (cycle)"
"B",0.8,0.705187709882114,0.5,0.9,91,5,"5 (cycle)"
"Ref",0.8,0.728571428571428,0.6,0.9,91,5,"5 (cycle)"
"Lumped",0.75,0.658333333333333,0.5,0.9,84,5,"5 (cycle)"
"A",0.8,0.738202247191011,0.6,0.9,89,10,"10 (complete×1)"
"B",0.8,0.741573033707865,0.6,0.9,89,10,"10 (complete×1)"
"Ref",0.8,0.730612244897959,0.6,0.9,98,10,"10 (complete×1)"
"Lumped",0.8,0.705813953488372,0.6,0.9,86,10,"10 (complete×1)"
"A",0.8,0.752747252747253,0.7,0.9,91,20,"20 (complete×2)"
"B",0.8,0.746875,0.6,0.9,96,20,"20 (complete×2)"
"Ref",0.8,0.744897959183673,0.7,0.9,98,20,"20 (complete×2)"
"Lumped",0.8,0.733707865168539,0.6,0.9,89,20,"20 (complete×2)"
"A",0.8,0.731578947368421,0.6,0.9,95,40,"40 (complete×4)"
"B",0.8,0.735106382978723,0.7,0.9,94,40,"40 (complete×4)"
"Ref",0.8,0.724742268041237,0.6,0.9,97,40,"40 (complete×4)"
"Lumped",0.8,0.765263157894737,0.7,0.9,95,40,"40 (complete×4)"
