"n_h2h","scenario","model","median_rho","mean_rho","q25","q75","n_reps"
0,"0 (star)","A",0.7,0.685714285714286,0.5,0.9,91
0,"0 (star)","B",0.8,0.694565217391304,0.575,0.9,92
0,"0 (star)","Ref",0.8,0.703061224489796,0.6,0.9,98
0,"0 (star)","Lumped",0.7,0.61123595505618,0.4,0.9,89
5,"5 (cycle)","A",0.7,0.70989010989011,NA,NA,91
5,"5 (cycle)","B",0.8,0.705187709882114,NA,NA,91
5,"5 (cycle)","Ref",0.8,0.728571428571428,NA,NA,91
5,"5 (cycle)","Lumped",0.75,0.658333333333333,NA,NA,84
10,"10 (complete×1)","A",0.8,0.738202247191011,NA,NA,89
10,"10 (complete×1)","B",0.8,0.741573033707865,NA,NA,89
10,"10 (complete×1)","Ref",0.8,0.730612244897959,NA,NA,98
10,"10 (complete×1)","Lumped",0.8,0.705813953488372,NA,NA,86
20,"20 (complete×2)","A",0.8,0.752747252747253,NA,NA,91
20,"20 (complete×2)","B",0.8,0.746875,NA,NA,96
20,"20 (complete×2)","Ref",0.8,0.744897959183673,NA,NA,98
20,"20 (complete×2)","Lumped",0.8,0.733707865168539,NA,NA,89
40,"40 (complete×4)","A",0.8,0.731578947368421,NA,NA,95
40,"40 (complete×4)","B",0.8,0.735106382978723,NA,NA,94
40,"40 (complete×4)","Ref",0.8,0.724742268041237,NA,NA,97
40,"40 (complete×4)","Lumped",0.8,0.765263157894737,NA,NA,95
