"scenario","model","agent","bias","n_reps"
"density_2x","A","citalopram",0.0456,98
"density_2x","A","escitalopram",0.0442,98
"density_2x","A","fluoxetine",0.0412,98
"density_2x","A","paroxetine",0.0305,98
"density_2x","A","sertraline",0.0044,98
"density_2x","B","citalopram",0.0073,96
"density_2x","B","escitalopram",0.0106,96
"density_2x","B","fluoxetine",0.0255,96
"density_2x","B","paroxetine",-0.0112,96
"density_2x","B","sertraline",-0.0162,96
"density_2x","Ref","citalopram",0.0928,100
"density_2x","Ref","escitalopram",0.0845,100
"density_2x","Ref","fluoxetine",0.0562,100
"density_2x","Ref","paroxetine",0.0894,100
"density_2x","Ref","sertraline",0.0118,100
"density_2x","Lumped","citalopram",-0.2928,96
"density_2x","Lumped","escitalopram",-0.2284,96
"density_2x","Lumped","fluoxetine",-0.1004,96
"density_2x","Lumped","paroxetine",-0.2577,96
"density_2x","Lumped","sertraline",-0.2117,96
"density_3x","A","citalopram",0.0524,95
"density_3x","A","escitalopram",0.0445,95
"density_3x","A","fluoxetine",0.0138,95
"density_3x","A","paroxetine",0.0347,95
"density_3x","A","sertraline",0.0669,95
"density_3x","B","citalopram",0.0159,97
"density_3x","B","escitalopram",0.0077,97
"density_3x","B","fluoxetine",0.005,97
"density_3x","B","paroxetine",-0.0086,97
"density_3x","B","sertraline",0.0551,97
"density_3x","Ref","citalopram",0.106,100
"density_3x","Ref","escitalopram",0.0825,100
"density_3x","Ref","fluoxetine",0.0343,100
"density_3x","Ref","paroxetine",0.0934,100
"density_3x","Ref","sertraline",0.0702,100
"density_3x","Lumped","citalopram",-0.295,99
"density_3x","Lumped","escitalopram",-0.2243,99
"density_3x","Lumped","fluoxetine",-0.114,99
"density_3x","Lumped","paroxetine",-0.2503,99
"density_3x","Lumped","sertraline",-0.1536,99
"density_enriched","A","citalopram",0.0687,93
"density_enriched","A","escitalopram",-0.0022,93
"density_enriched","A","fluoxetine",0.0403,93
"density_enriched","A","paroxetine",0.0569,93
"density_enriched","A","sertraline",0.0456,93
"density_enriched","B","citalopram",0.0352,95
"density_enriched","B","escitalopram",-0.0279,95
"density_enriched","B","fluoxetine",0.0132,95
"density_enriched","B","paroxetine",0.005,95
"density_enriched","B","sertraline",0.027,95
"density_enriched","Ref","citalopram",0.1354,99
"density_enriched","Ref","escitalopram",0.039,99
"density_enriched","Ref","fluoxetine",0.0375,99
"density_enriched","Ref","paroxetine",0.1073,99
"density_enriched","Ref","sertraline",0.0862,99
"density_enriched","Lumped","citalopram",-0.252,95
"density_enriched","Lumped","escitalopram",-0.2152,95
"density_enriched","Lumped","fluoxetine",-0.0947,95
"density_enriched","Lumped","paroxetine",-0.2562,95
"density_enriched","Lumped","sertraline",-0.1532,95
