"model","agent","coverage","n_reps","scenario"
"A","citalopram",0.929,98,"2× studies"
"A","escitalopram",0.949,98,"2× studies"
"A","fluoxetine",0.898,98,"2× studies"
"A","paroxetine",0.949,98,"2× studies"
"A","sertraline",0.969,98,"2× studies"
"B","citalopram",0.938,96,"2× studies"
"B","escitalopram",0.969,96,"2× studies"
"B","fluoxetine",0.927,96,"2× studies"
"B","paroxetine",0.958,96,"2× studies"
"B","sertraline",0.948,96,"2× studies"
"Ref","citalopram",0.91,100,"2× studies"
"Ref","escitalopram",0.93,100,"2× studies"
"Ref","fluoxetine",0.91,100,"2× studies"
"Ref","paroxetine",0.85,100,"2× studies"
"Ref","sertraline",0.97,100,"2× studies"
"Lumped","citalopram",0.521,96,"2× studies"
"Lumped","escitalopram",0.5,96,"2× studies"
"Lumped","fluoxetine",0.823,96,"2× studies"
"Lumped","paroxetine",0.146,96,"2× studies"
"Lumped","sertraline",0.771,96,"2× studies"
"A","citalopram",0.905,95,"3× studies"
"A","escitalopram",0.947,95,"3× studies"
"A","fluoxetine",0.937,95,"3× studies"
"A","paroxetine",0.968,95,"3× studies"
"A","sertraline",0.926,95,"3× studies"
"B","citalopram",0.938,97,"3× studies"
"B","escitalopram",0.959,97,"3× studies"
"B","fluoxetine",0.948,97,"3× studies"
"B","paroxetine",0.979,97,"3× studies"
"B","sertraline",0.948,97,"3× studies"
"Ref","citalopram",0.85,100,"3× studies"
"Ref","escitalopram",0.91,100,"3× studies"
"Ref","fluoxetine",0.94,100,"3× studies"
"Ref","paroxetine",0.82,100,"3× studies"
"Ref","sertraline",0.94,100,"3× studies"
"Lumped","citalopram",0.343,99,"3× studies"
"Lumped","escitalopram",0.303,99,"3× studies"
"Lumped","fluoxetine",0.626,99,"3× studies"
"Lumped","paroxetine",0.03,99,"3× studies"
"Lumped","sertraline",0.879,99,"3× studies"
"A","citalopram",0.957,93,"Dose-enriched"
"A","escitalopram",0.957,93,"Dose-enriched"
"A","fluoxetine",0.957,93,"Dose-enriched"
"A","paroxetine",0.914,93,"Dose-enriched"
"A","sertraline",0.989,93,"Dose-enriched"
"B","citalopram",0.947,95,"Dose-enriched"
"B","escitalopram",0.979,95,"Dose-enriched"
"B","fluoxetine",0.937,95,"Dose-enriched"
"B","paroxetine",0.968,95,"Dose-enriched"
"B","sertraline",1,95,"Dose-enriched"
"Ref","citalopram",0.899,99,"Dose-enriched"
"Ref","escitalopram",0.929,99,"Dose-enriched"
"Ref","fluoxetine",0.939,99,"Dose-enriched"
"Ref","paroxetine",0.859,99,"Dose-enriched"
"Ref","sertraline",0.98,99,"Dose-enriched"
"Lumped","citalopram",0.695,95,"Dose-enriched"
"Lumped","escitalopram",0.716,95,"Dose-enriched"
"Lumped","fluoxetine",0.863,95,"Dose-enriched"
"Lumped","paroxetine",0.263,95,"Dose-enriched"
"Lumped","sertraline",0.905,95,"Dose-enriched"
