"scenario","model","agent","coverage","n_reps"
"density_2x","A","citalopram",0.929,98
"density_2x","A","escitalopram",0.949,98
"density_2x","A","fluoxetine",0.898,98
"density_2x","A","paroxetine",0.949,98
"density_2x","A","sertraline",0.969,98
"density_2x","B","citalopram",0.938,96
"density_2x","B","escitalopram",0.969,96
"density_2x","B","fluoxetine",0.927,96
"density_2x","B","paroxetine",0.958,96
"density_2x","B","sertraline",0.948,96
"density_2x","Ref","citalopram",0.91,100
"density_2x","Ref","escitalopram",0.93,100
"density_2x","Ref","fluoxetine",0.91,100
"density_2x","Ref","paroxetine",0.85,100
"density_2x","Ref","sertraline",0.97,100
"density_2x","Lumped","citalopram",0.521,96
"density_2x","Lumped","escitalopram",0.5,96
"density_2x","Lumped","fluoxetine",0.823,96
"density_2x","Lumped","paroxetine",0.146,96
"density_2x","Lumped","sertraline",0.771,96
"density_3x","A","citalopram",0.905,95
"density_3x","A","escitalopram",0.947,95
"density_3x","A","fluoxetine",0.937,95
"density_3x","A","paroxetine",0.968,95
"density_3x","A","sertraline",0.926,95
"density_3x","B","citalopram",0.938,97
"density_3x","B","escitalopram",0.959,97
"density_3x","B","fluoxetine",0.948,97
"density_3x","B","paroxetine",0.979,97
"density_3x","B","sertraline",0.948,97
"density_3x","Ref","citalopram",0.85,100
"density_3x","Ref","escitalopram",0.91,100
"density_3x","Ref","fluoxetine",0.94,100
"density_3x","Ref","paroxetine",0.82,100
"density_3x","Ref","sertraline",0.94,100
"density_3x","Lumped","citalopram",0.343,99
"density_3x","Lumped","escitalopram",0.303,99
"density_3x","Lumped","fluoxetine",0.626,99
"density_3x","Lumped","paroxetine",0.03,99
"density_3x","Lumped","sertraline",0.879,99
"density_enriched","A","citalopram",0.957,93
"density_enriched","A","escitalopram",0.957,93
"density_enriched","A","fluoxetine",0.957,93
"density_enriched","A","paroxetine",0.914,93
"density_enriched","A","sertraline",0.989,93
"density_enriched","B","citalopram",0.947,95
"density_enriched","B","escitalopram",0.979,95
"density_enriched","B","fluoxetine",0.937,95
"density_enriched","B","paroxetine",0.968,95
"density_enriched","B","sertraline",1,95
"density_enriched","Ref","citalopram",0.899,99
"density_enriched","Ref","escitalopram",0.929,99
"density_enriched","Ref","fluoxetine",0.939,99
"density_enriched","Ref","paroxetine",0.859,99
"density_enriched","Ref","sertraline",0.98,99
"density_enriched","Lumped","citalopram",0.695,95
"density_enriched","Lumped","escitalopram",0.716,95
"density_enriched","Lumped","fluoxetine",0.863,95
"density_enriched","Lumped","paroxetine",0.263,95
"density_enriched","Lumped","sertraline",0.905,95
