"scenario","model","agent","median_width","mean_width","n_reps"
"density_2x","A","citalopram",0.572,0.57,98
"density_2x","A","escitalopram",0.545,0.545,98
"density_2x","A","fluoxetine",0.484,0.485,98
"density_2x","A","paroxetine",0.41,0.408,98
"density_2x","A","sertraline",0.934,0.94,98
"density_2x","B","citalopram",0.56,0.561,96
"density_2x","B","escitalopram",0.535,0.531,96
"density_2x","B","fluoxetine",0.463,0.462,96
"density_2x","B","paroxetine",0.42,0.422,96
"density_2x","B","sertraline",0.902,0.898,96
"density_2x","Ref","citalopram",0.606,0.604,100
"density_2x","Ref","escitalopram",0.586,0.587,100
"density_2x","Ref","fluoxetine",0.526,0.525,100
"density_2x","Ref","paroxetine",0.434,0.433,100
"density_2x","Ref","sertraline",0.982,0.989,100
"density_2x","Lumped","citalopram",0.61,0.61,96
"density_2x","Lumped","escitalopram",0.461,0.464,96
"density_2x","Lumped","fluoxetine",0.329,0.328,96
"density_2x","Lumped","paroxetine",0.312,0.313,96
"density_2x","Lumped","sertraline",0.844,0.855,96
"density_3x","A","citalopram",0.464,0.464,95
"density_3x","A","escitalopram",0.445,0.445,95
"density_3x","A","fluoxetine",0.391,0.393,95
"density_3x","A","paroxetine",0.335,0.335,95
"density_3x","A","sertraline",0.758,0.762,95
"density_3x","B","citalopram",0.469,0.467,97
"density_3x","B","escitalopram",0.439,0.438,97
"density_3x","B","fluoxetine",0.375,0.376,97
"density_3x","B","paroxetine",0.353,0.354,97
"density_3x","B","sertraline",0.72,0.732,97
"density_3x","Ref","citalopram",0.494,0.496,100
"density_3x","Ref","escitalopram",0.48,0.48,100
"density_3x","Ref","fluoxetine",0.425,0.427,100
"density_3x","Ref","paroxetine",0.351,0.351,100
"density_3x","Ref","sertraline",0.789,0.798,100
"density_3x","Lumped","citalopram",0.475,0.479,99
"density_3x","Lumped","escitalopram",0.366,0.367,99
"density_3x","Lumped","fluoxetine",0.259,0.258,99
"density_3x","Lumped","paroxetine",0.243,0.245,99
"density_3x","Lumped","sertraline",0.671,0.677,99
"density_enriched","A","citalopram",0.738,0.723,93
"density_enriched","A","escitalopram",0.702,0.7,93
"density_enriched","A","fluoxetine",0.635,0.646,93
"density_enriched","A","paroxetine",0.526,0.525,93
"density_enriched","A","sertraline",1.07,1.082,93
"density_enriched","B","citalopram",0.708,0.705,95
"density_enriched","B","escitalopram",0.676,0.669,95
"density_enriched","B","fluoxetine",0.599,0.605,95
"density_enriched","B","paroxetine",0.526,0.525,95
"density_enriched","B","sertraline",1.017,1.021,95
"density_enriched","Ref","citalopram",0.779,0.768,99
"density_enriched","Ref","escitalopram",0.742,0.748,99
"density_enriched","Ref","fluoxetine",0.688,0.694,99
"density_enriched","Ref","paroxetine",0.561,0.554,99
"density_enriched","Ref","sertraline",1.151,1.151,99
"density_enriched","Lumped","citalopram",0.666,0.663,95
"density_enriched","Lumped","escitalopram",0.555,0.558,95
"density_enriched","Lumped","fluoxetine",0.434,0.431,95
"density_enriched","Lumped","paroxetine",0.391,0.39,95
"density_enriched","Lumped","sertraline",0.887,0.886,95
