"model","median_rho","mean_rho","q25","q75","n_reps","scenario","scenario_id"
"A",0.9,0.806122448979592,0.7,0.9,98,"2× studies","density_2x"
"B",0.9,0.795833333333333,0.7,0.9,96,"2× studies","density_2x"
"Ref",0.9,0.816,0.775,0.9,100,"2× studies","density_2x"
"Lumped",0.8,0.704166666666666,0.6,0.9,96,"2× studies","density_2x"
"A",0.9,0.830526315789473,0.8,0.9,95,"3× studies","density_3x"
"B",0.9,0.830927835051546,0.8,1,97,"3× studies","density_3x"
"Ref",0.9,0.853,0.8,0.9,100,"3× studies","density_3x"
"Lumped",0.8,0.731313131313131,0.5,0.9,99,"3× studies","density_3x"
"A",0.9,0.774193548387097,0.7,0.9,93,"Dose-enriched","density_enriched"
"B",0.9,0.770526315789474,0.7,0.9,95,"Dose-enriched","density_enriched"
"Ref",0.9,0.783838383838384,0.7,0.9,99,"Dose-enriched","density_enriched"
"Lumped",0.7,0.681052631578947,0.5,0.9,95,"Dose-enriched","density_enriched"
