"tau","model","agent","bias","n_reps"
0.27,"A","citalopram",0.0536,91
0.27,"A","escitalopram",0.0723,91
0.27,"A","fluoxetine",0.0202,91
0.27,"A","paroxetine",0.0418,91
0.27,"A","sertraline",0.0615,91
0.27,"B","citalopram",3e-04,92
0.27,"B","escitalopram",0.0407,92
0.27,"B","fluoxetine",0.0112,92
0.27,"B","paroxetine",-0.0062,92
0.27,"B","sertraline",0.0299,92
0.27,"Ref","citalopram",0.0918,98
0.27,"Ref","escitalopram",0.1063,98
0.27,"Ref","fluoxetine",0.0402,98
0.27,"Ref","paroxetine",0.0914,98
0.27,"Ref","sertraline",0.061,98
0.27,"Lumped","citalopram",-0.3102,89
0.27,"Lumped","escitalopram",-0.2014,89
0.27,"Lumped","fluoxetine",-0.1284,89
0.27,"Lumped","paroxetine",-0.2515,89
0.27,"Lumped","sertraline",-0.1568,89
0.2,"A","citalopram",0.0453,67
0.2,"A","escitalopram",0.0423,67
0.2,"A","fluoxetine",0.0131,67
0.2,"A","paroxetine",0.0196,67
0.2,"A","sertraline",0.0487,67
0.2,"B","citalopram",0.0076,57
0.2,"B","escitalopram",0.0049,57
0.2,"B","fluoxetine",6e-04,57
0.2,"B","paroxetine",-0.0349,57
0.2,"B","sertraline",0.0278,57
0.2,"Ref","citalopram",0.1162,80
0.2,"Ref","escitalopram",0.0952,80
0.2,"Ref","fluoxetine",0.0465,80
0.2,"Ref","paroxetine",0.0765,80
0.2,"Ref","sertraline",0.0277,80
0.2,"Lumped","citalopram",-0.2595,69
0.2,"Lumped","escitalopram",-0.2188,69
0.2,"Lumped","fluoxetine",-0.1243,69
0.2,"Lumped","paroxetine",-0.2503,69
0.2,"Lumped","sertraline",-0.1462,69
0.15,"A","citalopram",0.0587,36
0.15,"A","escitalopram",0.0107,36
0.15,"A","fluoxetine",0.0196,36
0.15,"A","paroxetine",0.0168,36
0.15,"A","sertraline",0.1126,36
0.15,"B","citalopram",0.0221,41
0.15,"B","escitalopram",-0.0315,41
0.15,"B","fluoxetine",0.0055,41
0.15,"B","paroxetine",-0.0097,41
0.15,"B","sertraline",0.0597,41
0.15,"Ref","citalopram",0.084,56
0.15,"Ref","escitalopram",0.0501,56
0.15,"Ref","fluoxetine",0.0336,56
0.15,"Ref","paroxetine",0.0993,56
0.15,"Ref","sertraline",0.1013,56
0.15,"Lumped","citalopram",-0.3339,66
0.15,"Lumped","escitalopram",-0.2318,66
0.15,"Lumped","fluoxetine",-0.1057,66
0.15,"Lumped","paroxetine",-0.2372,66
0.15,"Lumped","sertraline",-0.2216,66
0.1,"A","citalopram",0.0166,29
0.1,"A","escitalopram",0.0288,29
0.1,"A","fluoxetine",0.016,29
0.1,"A","paroxetine",0.0248,29
0.1,"A","sertraline",-0.0612,29
0.1,"B","citalopram",-0.0039,25
0.1,"B","escitalopram",0.0057,25
0.1,"B","fluoxetine",-4e-04,25
0.1,"B","paroxetine",-0.011,25
0.1,"B","sertraline",-0.0046,25
0.1,"Ref","citalopram",0.092,44
0.1,"Ref","escitalopram",0.0945,44
0.1,"Ref","fluoxetine",0.0727,44
0.1,"Ref","paroxetine",0.1061,44
0.1,"Ref","sertraline",0.0281,44
0.1,"Lumped","citalopram",-0.2813,50
0.1,"Lumped","escitalopram",-0.2189,50
0.1,"Lumped","fluoxetine",-0.1239,50
0.1,"Lumped","paroxetine",-0.2587,50
0.1,"Lumped","sertraline",-0.266,50
0.05,"A","citalopram",0.0232,24
0.05,"A","escitalopram",0.0828,24
0.05,"A","fluoxetine",-0.0108,24
0.05,"A","paroxetine",0.0181,24
0.05,"A","sertraline",0.0802,24
0.05,"B","citalopram",0.0068,17
0.05,"B","escitalopram",0.0381,17
0.05,"B","fluoxetine",-0.0142,17
0.05,"B","paroxetine",-0.0297,17
0.05,"B","sertraline",0.013,17
0.05,"Ref","citalopram",0.0888,44
0.05,"Ref","escitalopram",0.0942,44
0.05,"Ref","fluoxetine",0.0072,44
0.05,"Ref","paroxetine",0.079,44
0.05,"Ref","sertraline",0.0654,44
0.05,"Lumped","citalopram",-0.2712,56
0.05,"Lumped","escitalopram",-0.2123,56
0.05,"Lumped","fluoxetine",-0.1096,56
0.05,"Lumped","paroxetine",-0.264,56
0.05,"Lumped","sertraline",-0.1826,56
