"tau","model","agent","coverage","n_reps"
0.27,"A","citalopram",0.945,91
0.27,"A","escitalopram",0.934,91
0.27,"A","fluoxetine",0.956,91
0.27,"A","paroxetine",0.923,91
0.27,"A","sertraline",0.967,91
0.27,"B","citalopram",0.957,92
0.27,"B","escitalopram",0.957,92
0.27,"B","fluoxetine",0.978,92
0.27,"B","paroxetine",0.946,92
0.27,"B","sertraline",0.957,92
0.27,"Ref","citalopram",0.949,98
0.27,"Ref","escitalopram",0.929,98
0.27,"Ref","fluoxetine",0.959,98
0.27,"Ref","paroxetine",0.898,98
0.27,"Ref","sertraline",0.949,98
0.27,"Lumped","citalopram",0.697,89
0.27,"Lumped","escitalopram",0.798,89
0.27,"Lumped","fluoxetine",0.865,89
0.27,"Lumped","paroxetine",0.427,89
0.27,"Lumped","sertraline",0.933,89
0.2,"A","citalopram",0.94,67
0.2,"A","escitalopram",0.955,67
0.2,"A","fluoxetine",0.97,67
0.2,"A","paroxetine",0.97,67
0.2,"A","sertraline",0.881,67
0.2,"B","citalopram",0.965,57
0.2,"B","escitalopram",0.982,57
0.2,"B","fluoxetine",0.965,57
0.2,"B","paroxetine",0.947,57
0.2,"B","sertraline",0.912,57
0.2,"Ref","citalopram",0.925,80
0.2,"Ref","escitalopram",0.912,80
0.2,"Ref","fluoxetine",0.938,80
0.2,"Ref","paroxetine",0.9,80
0.2,"Ref","sertraline",0.912,80
0.2,"Lumped","citalopram",0.739,69
0.2,"Lumped","escitalopram",0.681,69
0.2,"Lumped","fluoxetine",0.826,69
0.2,"Lumped","paroxetine",0.275,69
0.2,"Lumped","sertraline",0.899,69
0.15,"A","citalopram",0.972,36
0.15,"A","escitalopram",0.944,36
0.15,"A","fluoxetine",0.972,36
0.15,"A","paroxetine",1,36
0.15,"A","sertraline",1,36
0.15,"B","citalopram",0.951,41
0.15,"B","escitalopram",0.927,41
0.15,"B","fluoxetine",0.951,41
0.15,"B","paroxetine",0.951,41
0.15,"B","sertraline",1,41
0.15,"Ref","citalopram",0.893,56
0.15,"Ref","escitalopram",0.946,56
0.15,"Ref","fluoxetine",1,56
0.15,"Ref","paroxetine",0.946,56
0.15,"Ref","sertraline",1,56
0.15,"Lumped","citalopram",0.561,66
0.15,"Lumped","escitalopram",0.652,66
0.15,"Lumped","fluoxetine",0.803,66
0.15,"Lumped","paroxetine",0.318,66
0.15,"Lumped","sertraline",0.864,66
0.1,"A","citalopram",1,29
0.1,"A","escitalopram",0.862,29
0.1,"A","fluoxetine",1,29
0.1,"A","paroxetine",0.966,29
0.1,"A","sertraline",0.966,29
0.1,"B","citalopram",1,25
0.1,"B","escitalopram",0.96,25
0.1,"B","fluoxetine",1,25
0.1,"B","paroxetine",1,25
0.1,"B","sertraline",0.92,25
0.1,"Ref","citalopram",0.932,44
0.1,"Ref","escitalopram",0.955,44
0.1,"Ref","fluoxetine",0.909,44
0.1,"Ref","paroxetine",0.955,44
0.1,"Ref","sertraline",0.932,44
0.1,"Lumped","citalopram",0.72,50
0.1,"Lumped","escitalopram",0.72,50
0.1,"Lumped","fluoxetine",0.78,50
0.1,"Lumped","paroxetine",0.2,50
0.1,"Lumped","sertraline",0.82,50
0.05,"A","citalopram",1,24
0.05,"A","escitalopram",1,24
0.05,"A","fluoxetine",0.958,24
0.05,"A","paroxetine",0.958,24
0.05,"A","sertraline",0.958,24
0.05,"B","citalopram",1,17
0.05,"B","escitalopram",1,17
0.05,"B","fluoxetine",0.941,17
0.05,"B","paroxetine",1,17
0.05,"B","sertraline",1,17
0.05,"Ref","citalopram",0.909,44
0.05,"Ref","escitalopram",0.977,44
0.05,"Ref","fluoxetine",0.977,44
0.05,"Ref","paroxetine",0.864,44
0.05,"Ref","sertraline",0.977,44
0.05,"Lumped","citalopram",0.661,56
0.05,"Lumped","escitalopram",0.625,56
0.05,"Lumped","fluoxetine",0.857,56
0.05,"Lumped","paroxetine",0.125,56
0.05,"Lumped","sertraline",0.893,56
