"tau","model","agent","median_width","mean_width","n_reps"
0.27,"A","citalopram",0.816,0.816,91
0.27,"A","escitalopram",0.775,0.786,91
0.27,"A","fluoxetine",0.693,0.699,91
0.27,"A","paroxetine",0.585,0.587,91
0.27,"A","sertraline",1.345,1.378,91
0.27,"B","citalopram",0.792,0.788,92
0.27,"B","escitalopram",0.74,0.75,92
0.27,"B","fluoxetine",0.654,0.658,92
0.27,"B","paroxetine",0.578,0.582,92
0.27,"B","sertraline",1.251,1.308,92
0.27,"Ref","citalopram",0.866,0.869,98
0.27,"Ref","escitalopram",0.837,0.842,98
0.27,"Ref","fluoxetine",0.752,0.754,98
0.27,"Ref","paroxetine",0.627,0.627,98
0.27,"Ref","sertraline",1.392,1.456,98
0.27,"Lumped","citalopram",0.892,0.88,89
0.27,"Lumped","escitalopram",0.674,0.667,89
0.27,"Lumped","fluoxetine",0.468,0.472,89
0.27,"Lumped","paroxetine",0.45,0.454,89
0.27,"Lumped","sertraline",1.242,1.253,89
0.2,"A","citalopram",0.73,0.746,67
0.2,"A","escitalopram",0.699,0.708,67
0.2,"A","fluoxetine",0.63,0.637,67
0.2,"A","paroxetine",0.525,0.527,67
0.2,"A","sertraline",1.216,1.254,67
0.2,"B","citalopram",0.728,0.735,57
0.2,"B","escitalopram",0.683,0.694,57
0.2,"B","fluoxetine",0.599,0.607,57
0.2,"B","paroxetine",0.529,0.528,57
0.2,"B","sertraline",1.178,1.188,57
0.2,"Ref","citalopram",0.79,0.794,80
0.2,"Ref","escitalopram",0.748,0.758,80
0.2,"Ref","fluoxetine",0.671,0.677,80
0.2,"Ref","paroxetine",0.549,0.554,80
0.2,"Ref","sertraline",1.235,1.272,80
0.2,"Lumped","citalopram",0.759,0.78,69
0.2,"Lumped","escitalopram",0.587,0.603,69
0.2,"Lumped","fluoxetine",0.408,0.422,69
0.2,"Lumped","paroxetine",0.386,0.396,69
0.2,"Lumped","sertraline",1.118,1.122,69
0.15,"A","citalopram",0.696,0.712,36
0.15,"A","escitalopram",0.665,0.667,36
0.15,"A","fluoxetine",0.605,0.599,36
0.15,"A","paroxetine",0.494,0.495,36
0.15,"A","sertraline",1.122,1.123,36
0.15,"B","citalopram",0.663,0.681,41
0.15,"B","escitalopram",0.634,0.641,41
0.15,"B","fluoxetine",0.545,0.555,41
0.15,"B","paroxetine",0.484,0.493,41
0.15,"B","sertraline",1.007,1.059,41
0.15,"Ref","citalopram",0.73,0.722,56
0.15,"Ref","escitalopram",0.701,0.715,56
0.15,"Ref","fluoxetine",0.63,0.649,56
0.15,"Ref","paroxetine",0.518,0.527,56
0.15,"Ref","sertraline",1.146,1.198,56
0.15,"Lumped","citalopram",0.739,0.739,66
0.15,"Lumped","escitalopram",0.568,0.567,66
0.15,"Lumped","fluoxetine",0.399,0.401,66
0.15,"Lumped","paroxetine",0.385,0.384,66
0.15,"Lumped","sertraline",1.079,1.077,66
0.1,"A","citalopram",0.675,0.674,29
0.1,"A","escitalopram",0.597,0.612,29
0.1,"A","fluoxetine",0.552,0.548,29
0.1,"A","paroxetine",0.467,0.463,29
0.1,"A","sertraline",1.093,1.162,29
0.1,"B","citalopram",0.625,0.641,25
0.1,"B","escitalopram",0.581,0.592,25
0.1,"B","fluoxetine",0.527,0.531,25
0.1,"B","paroxetine",0.471,0.473,25
0.1,"B","sertraline",1.016,1.065,25
0.1,"Ref","citalopram",0.656,0.676,44
0.1,"Ref","escitalopram",0.639,0.651,44
0.1,"Ref","fluoxetine",0.586,0.59,44
0.1,"Ref","paroxetine",0.468,0.483,44
0.1,"Ref","sertraline",1.106,1.227,44
0.1,"Lumped","citalopram",0.7,0.696,50
0.1,"Lumped","escitalopram",0.513,0.52,50
0.1,"Lumped","fluoxetine",0.364,0.368,50
0.1,"Lumped","paroxetine",0.338,0.346,50
0.1,"Lumped","sertraline",0.938,0.963,50
0.05,"A","citalopram",0.623,0.634,24
0.05,"A","escitalopram",0.606,0.629,24
0.05,"A","fluoxetine",0.531,0.533,24
0.05,"A","paroxetine",0.439,0.437,24
0.05,"A","sertraline",1.004,1.042,24
0.05,"B","citalopram",0.619,0.629,17
0.05,"B","escitalopram",0.606,0.608,17
0.05,"B","fluoxetine",0.524,0.521,17
0.05,"B","paroxetine",0.456,0.449,17
0.05,"B","sertraline",0.989,1.037,17
0.05,"Ref","citalopram",0.687,0.689,44
0.05,"Ref","escitalopram",0.638,0.655,44
0.05,"Ref","fluoxetine",0.573,0.577,44
0.05,"Ref","paroxetine",0.462,0.467,44
0.05,"Ref","sertraline",1.042,1.09,44
0.05,"Lumped","citalopram",0.649,0.672,56
0.05,"Lumped","escitalopram",0.516,0.518,56
0.05,"Lumped","fluoxetine",0.355,0.36,56
0.05,"Lumped","paroxetine",0.337,0.341,56
0.05,"Lumped","sertraline",0.963,0.985,56
