"model","median_rho","mean_rho","q25","q75","n_reps","tau"
"A",0.8,0.740298507462686,0.7,0.9,67,0.2
"B",0.8,0.752631578947368,0.6,0.9,57,0.2
"Ref",0.8,0.775,0.7,0.9,80,0.2
"Lumped",0.7,0.646376811594203,0.5,0.9,69,0.2
"A",0.8,0.719444444444444,0.7,0.9,36,0.15
"B",0.8,0.75609756097561,0.7,0.9,41,0.15
"Ref",0.8,0.746428571428571,0.6,0.9,56,0.15
"Lumped",0.8,0.656060606060606,0.425,0.9,66,0.15
"A",0.8,0.793103448275862,0.7,0.9,29,0.1
"B",0.9,0.824,0.7,1,25,0.1
"Ref",0.85,0.775,0.7,0.9,44,0.1
"Lumped",0.8,0.78,0.7,0.9,50,0.1
"A",0.85,0.720833333333333,0.55,0.9,24,0.05
"B",0.9,0.776470588235294,0.5,1,17,0.05
"Ref",0.9,0.802272727272727,0.7,0.925,44,0.05
"Lumped",0.8,0.751971273943465,0.7,0.9,56,0.05
