Study Name,Year,No. of,No of,Drug,Sponsor,No.,Mean,%,Dose,Dosing,Mean,Baseline,Mean,Length,Diagno,Recruitmen,Multi/,Treatment,Patient,Placeb,Rescue,,
Aberg‐Wisted,2000,2,2,paroxetine,No,177,*,*,20‐40,Flexible,*,MADRS,30.70,8,DSM‐,Europe,Multi‐,Unclear,Outpatients,No,Unclear,,
Aguglia 1993,1993,2,2,sertraline,No,52,57.5,*,50‐150,Flexible,72,HAMD 17,24.80,8,DSM‐,Europe,Multi‐,Unclear,Outpatients,Yes,Unclear,,
AK1102365,unpublis,2,2,bupropion,Yes,166,36.8,0.47,200‐300,Flexible,*,HAMD 17,19.40,12,*,Asia,Multi‐,Unclear,Unclear,No,Unclear,,
Alexopoulos,2004,3,3,escitalopram,Yes,136,39.5,*,10‐20,Flexible,*,HAMD 24,26.47,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,,
Allard 2004,2004,2,2,citalopram,No,75,72.5,*,20‐30,Flexible,26,MADRS,27.00,8,DSM‐IV,Europe,Multi‐,Unclear,Outpatients,No,Unclear,,
Altamura,1989,2,3,amitriptyline,Unclear,37,66.43,0.57,75‐75,Fixed,75,HAMD 21,29.03,5,DSM‐III,Europe,Multi‐,Unclear,Inpatients,Unclear,Unclear,,
Alvarez 2012,2012,4,4,placebo,No,105,42,0.66,0‐0,Fixed,0,HAMD 24,29.70,6,DSM‐IV,Cross‐,Multi‐,Secondary,Outpatients,Unclear,Yes,,
Alves 1999,1999,2,2,fluoxetine,No,47,42.3,*,20‐40,Flexible,*,HAMD 21,26.90,12,DSM‐IV,Europe,Multi‐,Unclear,Outpatients,No,Unclear,,
Amin 1984,1984,2,3,fluvoxamine,Yes,161,42 (*),*,*,Flexible,155,HAMD,22.60,4,Feighne,Cross‐,Multi‐,Secondary,Both,Unclear,Unclear,,
Amini 2005,2005,2,2,mirtazapine,No,18,35,*,30‐30,Fixed,30,HAMD 17,25.80,6,DSM‐IV,Asia,Single,Secondary,Both,No,Unclear,,
Amsterdam,1986,2,3,amitriptyline,No,55,41,*,200‐300,Flexible,182,HAMD 21,24.5,4,RDC,North,Single,Secondary,Outpatients,Yes,Yes,,
Andersen 1986,1986,2,2,citalopram,Unclear,57,*,0.70,40‐40,Fixed,40,HAMD 17,22.5,5,*,Europe,Multi‐,Secondary,Inpatients,Yes,Yes,,
Ansseau 1989a,1989,3,3,milnacipran,Unclear,47,48.6,0.66,50‐50,Fixed,50,HAMD 17,25.10,4,RDC,Europe,Multi‐,Secondary,Inpatients,Yes,Yes,,
Ansseau 1989b,1989,2,2,milnacipran,Unclear,44,49.6,*,200‐200,Fixed,200,HAMD 24,37.30,4,RDC,Europe,Multi‐,Secondary,Inpatients,Yes,Yes,,
Ansseau 1991,1991,3,3,fluvoxamine,Unclear,41,46.6,*,200‐200,Fixed,200,HAMD 24,32.69,4,RDC,Europe,Multi‐,Secondary,Inpatients,Yes,Yes,,
Ansseau 1994a,1994,2,2,paroxetine,Yes,55,43.7,0.46,20‐30,Flexible,*,HAMD 21,26.00,6,DSM‐,Europe,Multi‐,Other/Unc,Other/Unclea,Yes,Unclear,,
Ansseau 1994b,1994,2,2,milnacipran,Yes,97,44.8,*,100‐100,Fixed,100,HAMD 24,30.60,6,DSM‐,Europe,Multi‐,Secondary,Outpatients,Yes,Yes,,
Ansseau 1994c,1994,2,2,nefazodone,Yes,55,45.8,0.73,100‐400,Flexible,242,HAMD 17,27.70,6,DSM‐,Europe,Multi‐,Secondary,Inpatients,Unclear,Yes,,
Armitage 1997,1997,2,2,nefazodone,Yes,22,37.1,0.50,400‐500,Flexible,433,HAMD 17,23.50,8,DSM‐,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,,
Asnis 2013,2013,4,4,placebo,No,179,41.3,0.61,0‐0,Fixed,0,HAMD,17,24.60,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Yes,
Bakish 1992,1992,2,3,amitriptyline,No,58,42 (9),*,50‐150,Flexible,112,HAMD,17,22.81,6,DSM‐,North,Multi‐,Unclear,Outpatients,Yes,Yes,
Bakish 1997,1997,2,2,fluoxetine,No,9,39 (9),0.62,20‐80,Flexible,*,HAMD,17,22.30,12,DSM‐,North,Unclear,Unclear,Other/Unclea,Unclear,Yes,
Bakish 2014,2014,3,3,placebo,No,189,42.3,0.62,0‐0,Fixed,0,MADR,S,31.00,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Baldwin 1996,1996,2,2,nefazodone,Yes,105,38.3,0.60,200‐600,Flexible,472,HAMD,17,24.60,8,DSM‐,Europe,Multi‐,Secondary,Outpatients,Unclear,Yes,
Baldwin 2006a,2006,2,2,reboxetine,Yes,159,42.4,0.63,8‐10,Flexible,9,HAMD,17,24.20,8,DSM‐IV,Europe,Multi‐,Other/Unc,Other/Unclea,Unclear,Yes,
Baldwin 2006b,2006,2,2,paroxetine,No,159,45.1,*,20‐40,Flexible,26,MADR,S,29.70,8,DSM‐,Europe,Multi‐,Other/Unc,Other/Unclea,Yes,Unclear,
Baldwin 2012,2012,4,5,placebo,No,152,43.3,0.70,0‐0,Fixed,0,HAMD,24,29.80,8,DSM‐IV,Cross‐,Multi‐,Secondary,Both,Unclear,Yes,
Ban 1998,1998,2,3,reboxetine,Unclear,84,46.4,0.50,8‐8,Fixed,8,HAMD,17,26.89,4,DSM‐,Cross‐,Multi‐,Secondary,Inpatients,No,Yes,
Barber 2011,2011,2,3,sertraline,No,55,38,*,50‐200,Fixed,200,HAMD 17,19.00,16,DSM‐IV,North,Multi‐,Secondary,Outpatients,No,Unclear,,
Battegay 1985,1985,2,2,paroxetine,Yes,11,41.5,0.55,30‐30,Fixed,30,*,*,7,*,Europe,Single,Unclear,Unclear,Unclear,Unclear,,
Beasley 1991,1991,2,2,trazodone,No,61,40,0.69,50‐400,Flexible,244,HAMD 21,24.30,6,DSM‐III,North,Multi‐,Unclear,Outpatients,Yes,Yes,,
Behnke 2003,2003,2,2,mirtazapine,Yes,176,42,*,30‐45,Flexible,38,HAMD 17,*,8,DSM‐IV,Cross‐,Multi‐,Both,Unclear,No,Unclear,,
Benkert 2000,2000,2,2,mirtazapine,Yes,139,47.2,*,15‐45,Flexible,33,HAMD 17,22.40,6,DSM‐IV,Europe,Multi‐,Both,Outpatients,Yes,Unclear,,
Benkert,2006,2,2,mirtazapine,Yes,140,46.4,0.56,45‐45,Fixed,45,HAMD 17,24.60,6,DSM‐IV,Europe,Multi‐,Unclear,Outpatients,No,Unclear,,
Bennie 1995,1995,2,2,sertraline,Yes,142,49.9,*,50‐100,Flexible,62,HAMD 17,23.20,6,DSM‐,Europe,Multi‐,Secondary,Outpatients,Yes,Yes,,
