data,node,box,description,boxtext,tooltips,url,n
NA,node4,prevstud,Grey title box; Previous studies,Previous studies,NA,NA,0
previous_studies,node5,box1,Studies included in previous version of review,Studies included in previous version of review,NA,NA,54
previous_reports,NA,box1,Reports of studies included in previous version of review,,NA,NA,NA
NA,node6,newstud,Yellow title box; Identification of new studies via databases and registers,Identification of new studies via databases and registers,NA,NA,0
database_results,node7,box2,Records identified from: Databases,Databases,NA,NA,18658
register_results,NA,box2,Records identified from: Registers,,NA,NA,NA
NA,node16,othstud,Grey title box; Identification of new studies via other methods,,NA,NA,NA
website_results,node17,box11,Records identified from: Websites,,NA,NA,NA
organisation_results,,box11,Records identified from: Organisations,,NA,NA,NA
citations_results,NA,box11,Records identified from: Citation searching,,NA,NA,NA
duplicates,node8,box3,Duplicate records,Duplicate records,NA,NA,5505
excluded_automatic,NA,box3,Records marked as ineligible by automation tools,,NA,NA,NA
excluded_other,NA,box3,Records removed for other reasons,,NA,NA,NA
records_screened,node9,box4,Records screened (databases and registers),Records screened,NA,NA,13115
records_excluded,node10,box5,Records excluded (databases and registers),Records excluded,NA,NA,11286
dbr_sought_reports,node11,box6,Reports sought for retrieval (databases and registers),Reports sought for retrieval,NA,NA,1829
dbr_notretrieved_reports,node12,box7,Reports not retrieved (databases and registers),Reports not retrieved,NA,NA,145
other_sought_reports,node18,box12,Reports sought for retrieval (other),,NA,NA,NA
other_notretrieved_reports,node19,box13,Reports not retrieved (other),,NA,NA,NA
dbr_assessed,node13,box8,Reports assessed for eligibility (databases and registers),Reports assessed for eligibility,NA,NA,1684
dbr_excluded,node14,box9,"Reports excluded (databases and registers): [separate reasons and numbers using ; e.g. Reason1, xxx; Reason2, xxx; Reason3, xxx]",Reports excluded:,NA,NA,"Participants: no subgroup with depression, 1104; Outcome: no depression scores reported, 100; Intervention: exercise is <20% of the intervention, 76; Design: non-randomised trials or cohort studies, 61; No arm-based data available, 49; Duplicate, 42; Protocol paper, 15; Dose: intervention < 1 week, 13; Article withdrawn, 2"
other_assessed,node20,box14,Reports assessed for eligibility (other),,NA,NA,NA
other_excluded,node21,box15,"Reports excluded (other): [separate reasons and numbers using ; e.g. Reason1, xxx; Reason2, xxx; Reason3, xxx]",,NA,NA,NA
new_studies,node15,box10,New studies included in review,New studies included in review,NA,NA,NA
new_reports,NA,box10,Reports of new included studies,,NA,NA,NA
total_studies,node22,box16,Total studies included in review,Total studies included in review,NA,NA,218
total_reports,NA,box16,Reports of total included studies,,NA,NA,NA
identification,node1,identification,Blue identification box,Identification,NA,NA,0
screening,node2,screening,Blue screening box,Screening,NA,NA,0
included,node3,included,Blue included box,Included,NA,NA,0
