"model","agent","bias","n_reps","n_h2h","scenario"
"A","citalopram",0.018,46,5,"5 (cycle)"
"A","escitalopram",-0.0067,46,5,"5 (cycle)"
"A","fluoxetine",0.0349,46,5,"5 (cycle)"
"A","paroxetine",0.0644,46,5,"5 (cycle)"
"A","sertraline",0.0375,46,5,"5 (cycle)"
"B","citalopram",-0.0351,43,5,"5 (cycle)"
"B","escitalopram",-0.0418,43,5,"5 (cycle)"
"B","fluoxetine",0.0161,43,5,"5 (cycle)"
"B","paroxetine",0.0231,43,5,"5 (cycle)"
"B","sertraline",-0.0015,43,5,"5 (cycle)"
"Ref","citalopram",0.0607,44,5,"5 (cycle)"
"Ref","escitalopram",0.0358,44,5,"5 (cycle)"
"Ref","fluoxetine",0.0594,44,5,"5 (cycle)"
"Ref","paroxetine",0.1221,44,5,"5 (cycle)"
"Ref","sertraline",0.0387,44,5,"5 (cycle)"
"Lumped","citalopram",-0.2795,41,5,"5 (cycle)"
"Lumped","escitalopram",-0.2175,41,5,"5 (cycle)"
"Lumped","fluoxetine",-0.0897,41,5,"5 (cycle)"
"Lumped","paroxetine",-0.2452,41,5,"5 (cycle)"
"Lumped","sertraline",-0.1637,41,5,"5 (cycle)"
"A","citalopram",0.0487,44,10,"10 (complete×1)"
"A","escitalopram",0.0517,44,10,"10 (complete×1)"
"A","fluoxetine",-0.0354,44,10,"10 (complete×1)"
"A","paroxetine",0.0554,44,10,"10 (complete×1)"
"A","sertraline",0.0742,44,10,"10 (complete×1)"
"B","citalopram",0.0052,45,10,"10 (complete×1)"
"B","escitalopram",0.0213,45,10,"10 (complete×1)"
"B","fluoxetine",-0.0239,45,10,"10 (complete×1)"
"B","paroxetine",0.0194,45,10,"10 (complete×1)"
"B","sertraline",0.0702,45,10,"10 (complete×1)"
"Ref","citalopram",0.0983,50,10,"10 (complete×1)"
"Ref","escitalopram",0.0896,50,10,"10 (complete×1)"
"Ref","fluoxetine",-0.0143,50,10,"10 (complete×1)"
"Ref","paroxetine",0.123,50,10,"10 (complete×1)"
"Ref","sertraline",0.1042,50,10,"10 (complete×1)"
"Lumped","citalopram",-0.3464,42,10,"10 (complete×1)"
"Lumped","escitalopram",-0.2285,42,10,"10 (complete×1)"
"Lumped","fluoxetine",-0.0978,42,10,"10 (complete×1)"
"Lumped","paroxetine",-0.2486,42,10,"10 (complete×1)"
"Lumped","sertraline",-0.1864,42,10,"10 (complete×1)"
"A","citalopram",0.0855,48,20,"20 (complete×2)"
"A","escitalopram",0.0564,48,20,"20 (complete×2)"
"A","fluoxetine",1e-04,48,20,"20 (complete×2)"
"A","paroxetine",0.039,48,20,"20 (complete×2)"
"A","sertraline",0.0761,48,20,"20 (complete×2)"
"B","citalopram",0.0352,49,20,"20 (complete×2)"
"B","escitalopram",0.0294,49,20,"20 (complete×2)"
"B","fluoxetine",-0.0054,49,20,"20 (complete×2)"
"B","paroxetine",-0.005,49,20,"20 (complete×2)"
"B","sertraline",0.0389,49,20,"20 (complete×2)"
"Ref","citalopram",0.1338,50,20,"20 (complete×2)"
"Ref","escitalopram",0.1012,50,20,"20 (complete×2)"
"Ref","fluoxetine",0.0074,50,20,"20 (complete×2)"
"Ref","paroxetine",0.0932,50,20,"20 (complete×2)"
"Ref","sertraline",0.0824,50,20,"20 (complete×2)"
"Lumped","citalopram",-0.325,43,20,"20 (complete×2)"
"Lumped","escitalopram",-0.2124,43,20,"20 (complete×2)"
"Lumped","fluoxetine",-0.0957,43,20,"20 (complete×2)"
"Lumped","paroxetine",-0.2652,43,20,"20 (complete×2)"
"Lumped","sertraline",-0.1802,43,20,"20 (complete×2)"
"A","citalopram",0.0438,48,40,"40 (complete×4)"
"A","escitalopram",0.0426,48,40,"40 (complete×4)"
"A","fluoxetine",0.0254,48,40,"40 (complete×4)"
"A","paroxetine",0.0504,48,40,"40 (complete×4)"
"A","sertraline",0.0955,48,40,"40 (complete×4)"
"B","citalopram",-0.0076,47,40,"40 (complete×4)"
"B","escitalopram",0.0133,47,40,"40 (complete×4)"
"B","fluoxetine",0.0326,47,40,"40 (complete×4)"
"B","paroxetine",-0.0045,47,40,"40 (complete×4)"
"B","sertraline",0.062,47,40,"40 (complete×4)"
"Ref","citalopram",0.1008,50,40,"40 (complete×4)"
"Ref","escitalopram",0.0806,50,40,"40 (complete×4)"
"Ref","fluoxetine",0.0413,50,40,"40 (complete×4)"
"Ref","paroxetine",0.0973,50,40,"40 (complete×4)"
"Ref","sertraline",0.1207,50,40,"40 (complete×4)"
"Lumped","citalopram",-0.3525,50,40,"40 (complete×4)"
"Lumped","escitalopram",-0.2072,50,40,"40 (complete×4)"
"Lumped","fluoxetine",-0.0745,50,40,"40 (complete×4)"
"Lumped","paroxetine",-0.2664,50,40,"40 (complete×4)"
"Lumped","sertraline",-0.2043,50,40,"40 (complete×4)"
