"model","agent","coverage","n_reps","n_h2h","scenario"
"A","citalopram",0.848,46,5,"5 (cycle)"
"A","escitalopram",0.913,46,5,"5 (cycle)"
"A","fluoxetine",0.935,46,5,"5 (cycle)"
"A","paroxetine",0.891,46,5,"5 (cycle)"
"A","sertraline",0.913,46,5,"5 (cycle)"
"B","citalopram",0.907,43,5,"5 (cycle)"
"B","escitalopram",0.93,43,5,"5 (cycle)"
"B","fluoxetine",0.93,43,5,"5 (cycle)"
"B","paroxetine",0.977,43,5,"5 (cycle)"
"B","sertraline",0.93,43,5,"5 (cycle)"
"Ref","citalopram",0.841,44,5,"5 (cycle)"
"Ref","escitalopram",0.955,44,5,"5 (cycle)"
"Ref","fluoxetine",0.932,44,5,"5 (cycle)"
"Ref","paroxetine",0.886,44,5,"5 (cycle)"
"Ref","sertraline",0.932,44,5,"5 (cycle)"
"Lumped","citalopram",0.634,41,5,"5 (cycle)"
"Lumped","escitalopram",0.707,41,5,"5 (cycle)"
"Lumped","fluoxetine",0.878,41,5,"5 (cycle)"
"Lumped","paroxetine",0.366,41,5,"5 (cycle)"
"Lumped","sertraline",0.854,41,5,"5 (cycle)"
"A","citalopram",0.932,44,10,"10 (complete×1)"
"A","escitalopram",0.932,44,10,"10 (complete×1)"
"A","fluoxetine",0.955,44,10,"10 (complete×1)"
"A","paroxetine",0.909,44,10,"10 (complete×1)"
"A","sertraline",0.955,44,10,"10 (complete×1)"
"B","citalopram",0.933,45,10,"10 (complete×1)"
"B","escitalopram",0.956,45,10,"10 (complete×1)"
"B","fluoxetine",0.956,45,10,"10 (complete×1)"
"B","paroxetine",0.933,45,10,"10 (complete×1)"
"B","sertraline",0.956,45,10,"10 (complete×1)"
"Ref","citalopram",0.92,50,10,"10 (complete×1)"
"Ref","escitalopram",0.92,50,10,"10 (complete×1)"
"Ref","fluoxetine",0.92,50,10,"10 (complete×1)"
"Ref","paroxetine",0.86,50,10,"10 (complete×1)"
"Ref","sertraline",0.96,50,10,"10 (complete×1)"
"Lumped","citalopram",0.381,42,10,"10 (complete×1)"
"Lumped","escitalopram",0.595,42,10,"10 (complete×1)"
"Lumped","fluoxetine",0.857,42,10,"10 (complete×1)"
"Lumped","paroxetine",0.357,42,10,"10 (complete×1)"
"Lumped","sertraline",0.857,42,10,"10 (complete×1)"
"A","citalopram",0.896,48,20,"20 (complete×2)"
"A","escitalopram",0.958,48,20,"20 (complete×2)"
"A","fluoxetine",0.979,48,20,"20 (complete×2)"
"A","paroxetine",0.896,48,20,"20 (complete×2)"
"A","sertraline",0.875,48,20,"20 (complete×2)"
"B","citalopram",0.898,49,20,"20 (complete×2)"
"B","escitalopram",0.98,49,20,"20 (complete×2)"
"B","fluoxetine",0.98,49,20,"20 (complete×2)"
"B","paroxetine",0.959,49,20,"20 (complete×2)"
"B","sertraline",0.898,49,20,"20 (complete×2)"
"Ref","citalopram",0.82,50,20,"20 (complete×2)"
"Ref","escitalopram",0.94,50,20,"20 (complete×2)"
"Ref","fluoxetine",0.98,50,20,"20 (complete×2)"
"Ref","paroxetine",0.9,50,20,"20 (complete×2)"
"Ref","sertraline",0.9,50,20,"20 (complete×2)"
"Lumped","citalopram",0.395,43,20,"20 (complete×2)"
"Lumped","escitalopram",0.605,43,20,"20 (complete×2)"
"Lumped","fluoxetine",0.86,43,20,"20 (complete×2)"
"Lumped","paroxetine",0.233,43,20,"20 (complete×2)"
"Lumped","sertraline",0.744,43,20,"20 (complete×2)"
"A","citalopram",0.896,48,40,"40 (complete×4)"
"A","escitalopram",0.938,48,40,"40 (complete×4)"
"A","fluoxetine",0.979,48,40,"40 (complete×4)"
"A","paroxetine",0.917,48,40,"40 (complete×4)"
"A","sertraline",0.958,48,40,"40 (complete×4)"
"B","citalopram",0.915,47,40,"40 (complete×4)"
"B","escitalopram",0.957,47,40,"40 (complete×4)"
"B","fluoxetine",0.979,47,40,"40 (complete×4)"
"B","paroxetine",0.936,47,40,"40 (complete×4)"
"B","sertraline",0.979,47,40,"40 (complete×4)"
"Ref","citalopram",0.88,50,40,"40 (complete×4)"
"Ref","escitalopram",0.94,50,40,"40 (complete×4)"
"Ref","fluoxetine",0.94,50,40,"40 (complete×4)"
"Ref","paroxetine",0.92,50,40,"40 (complete×4)"
"Ref","sertraline",0.96,50,40,"40 (complete×4)"
"Lumped","citalopram",0.14,50,40,"40 (complete×4)"
"Lumped","escitalopram",0.46,50,40,"40 (complete×4)"
"Lumped","fluoxetine",0.88,50,40,"40 (complete×4)"
"Lumped","paroxetine",0.12,50,40,"40 (complete×4)"
"Lumped","sertraline",0.58,50,40,"40 (complete×4)"
