"n_h2h","scenario","model","agent","median_width","mean_width","n_reps"
5,"5 (cycle)","A","citalopram",0.78,0.787,46
5,"5 (cycle)","A","escitalopram",0.763,0.754,46
5,"5 (cycle)","A","fluoxetine",0.662,0.68,46
5,"5 (cycle)","A","paroxetine",0.554,0.557,46
5,"5 (cycle)","A","sertraline",1.227,1.253,46
5,"5 (cycle)","B","citalopram",0.762,0.77,43
5,"5 (cycle)","B","escitalopram",0.727,0.722,43
5,"5 (cycle)","B","fluoxetine",0.636,0.641,43
5,"5 (cycle)","B","paroxetine",0.558,0.559,43
5,"5 (cycle)","B","sertraline",1.146,1.183,43
5,"5 (cycle)","Ref","citalopram",0.845,0.854,44
5,"5 (cycle)","Ref","escitalopram",0.831,0.822,44
5,"5 (cycle)","Ref","fluoxetine",0.723,0.738,44
5,"5 (cycle)","Ref","paroxetine",0.603,0.603,44
5,"5 (cycle)","Ref","sertraline",1.34,1.37,44
5,"5 (cycle)","Lumped","citalopram",0.741,0.733,41
5,"5 (cycle)","Lumped","escitalopram",0.596,0.594,41
5,"5 (cycle)","Lumped","fluoxetine",0.447,0.442,41
5,"5 (cycle)","Lumped","paroxetine",0.422,0.423,41
5,"5 (cycle)","Lumped","sertraline",0.886,0.894,41
10,"10 (complete×1)","A","citalopram",0.747,0.753,44
10,"10 (complete×1)","A","escitalopram",0.721,0.726,44
10,"10 (complete×1)","A","fluoxetine",0.644,0.653,44
10,"10 (complete×1)","A","paroxetine",0.553,0.555,44
10,"10 (complete×1)","A","sertraline",1.135,1.171,44
10,"10 (complete×1)","B","citalopram",0.726,0.732,45
10,"10 (complete×1)","B","escitalopram",0.694,0.692,45
10,"10 (complete×1)","B","fluoxetine",0.61,0.611,45
10,"10 (complete×1)","B","paroxetine",0.552,0.555,45
10,"10 (complete×1)","B","sertraline",1.083,1.094,45
10,"10 (complete×1)","Ref","citalopram",0.807,0.797,50
10,"10 (complete×1)","Ref","escitalopram",0.772,0.77,50
10,"10 (complete×1)","Ref","fluoxetine",0.693,0.701,50
10,"10 (complete×1)","Ref","paroxetine",0.583,0.584,50
10,"10 (complete×1)","Ref","sertraline",1.23,1.255,50
10,"10 (complete×1)","Lumped","citalopram",0.614,0.633,42
10,"10 (complete×1)","Lumped","escitalopram",0.525,0.531,42
10,"10 (complete×1)","Lumped","fluoxetine",0.41,0.415,42
10,"10 (complete×1)","Lumped","paroxetine",0.403,0.404,42
10,"10 (complete×1)","Lumped","sertraline",0.718,0.724,42
20,"20 (complete×2)","A","citalopram",0.723,0.728,48
20,"20 (complete×2)","A","escitalopram",0.702,0.711,48
20,"20 (complete×2)","A","fluoxetine",0.637,0.633,48
20,"20 (complete×2)","A","paroxetine",0.518,0.527,48
20,"20 (complete×2)","A","sertraline",1.1,1.124,48
20,"20 (complete×2)","B","citalopram",0.719,0.716,49
20,"20 (complete×2)","B","escitalopram",0.671,0.678,49
20,"20 (complete×2)","B","fluoxetine",0.59,0.594,49
20,"20 (complete×2)","B","paroxetine",0.53,0.536,49
20,"20 (complete×2)","B","sertraline",1.017,1.031,49
20,"20 (complete×2)","Ref","citalopram",0.769,0.783,50
20,"20 (complete×2)","Ref","escitalopram",0.759,0.77,50
20,"20 (complete×2)","Ref","fluoxetine",0.692,0.691,50
20,"20 (complete×2)","Ref","paroxetine",0.556,0.565,50
20,"20 (complete×2)","Ref","sertraline",1.222,1.244,50
20,"20 (complete×2)","Lumped","citalopram",0.548,0.553,43
20,"20 (complete×2)","Lumped","escitalopram",0.487,0.492,43
20,"20 (complete×2)","Lumped","fluoxetine",0.399,0.401,43
20,"20 (complete×2)","Lumped","paroxetine",0.387,0.39,43
20,"20 (complete×2)","Lumped","sertraline",0.607,0.619,43
40,"40 (complete×4)","A","citalopram",0.657,0.665,48
40,"40 (complete×4)","A","escitalopram",0.65,0.655,48
40,"40 (complete×4)","A","fluoxetine",0.586,0.592,48
40,"40 (complete×4)","A","paroxetine",0.484,0.495,48
40,"40 (complete×4)","A","sertraline",0.953,0.966,48
40,"40 (complete×4)","B","citalopram",0.676,0.673,47
40,"40 (complete×4)","B","escitalopram",0.643,0.64,47
40,"40 (complete×4)","B","fluoxetine",0.559,0.561,47
40,"40 (complete×4)","B","paroxetine",0.51,0.512,47
40,"40 (complete×4)","B","sertraline",0.897,0.91,47
40,"40 (complete×4)","Ref","citalopram",0.734,0.729,50
40,"40 (complete×4)","Ref","escitalopram",0.709,0.716,50
40,"40 (complete×4)","Ref","fluoxetine",0.646,0.648,50
40,"40 (complete×4)","Ref","paroxetine",0.527,0.528,50
40,"40 (complete×4)","Ref","sertraline",1.079,1.097,50
40,"40 (complete×4)","Lumped","citalopram",0.435,0.442,50
40,"40 (complete×4)","Lumped","escitalopram",0.409,0.409,50
40,"40 (complete×4)","Lumped","fluoxetine",0.343,0.35,50
40,"40 (complete×4)","Lumped","paroxetine",0.338,0.339,50
40,"40 (complete×4)","Lumped","sertraline",0.464,0.467,50
