"model","median_rho","mean_rho","q25","q75","n_reps","n_h2h","scenario"
"A",0.75,0.689130434782608,0.5,0.9,46,5,"5 (cycle)"
"B",0.8,0.688372093023256,0.5,0.9,43,5,"5 (cycle)"
"Ref",0.7,0.695454545454545,0.5,0.9,44,5,"5 (cycle)"
"Lumped",0.8,0.634146341463415,0.4,0.9,41,5,"5 (cycle)"
"A",0.8,0.740909090909091,0.6,0.9,44,10,"10 (complete×1)"
"B",0.8,0.746666666666666,0.6,0.9,45,10,"10 (complete×1)"
"Ref",0.8,0.728,0.6,0.9,50,10,"10 (complete×1)"
"Lumped",0.75,0.697619047619047,0.525,0.9,42,10,"10 (complete×1)"
"A",0.8,0.729166666666667,0.6,0.9,48,20,"20 (complete×2)"
"B",0.8,0.726530612244898,0.6,0.9,49,20,"20 (complete×2)"
"Ref",0.8,0.728,0.6,0.9,50,20,"20 (complete×2)"
"Lumped",0.8,0.720930232558139,0.6,0.9,43,20,"20 (complete×2)"
"A",0.8,0.733333333333333,0.675,0.9,48,40,"40 (complete×4)"
"B",0.8,0.738297872340425,0.7,0.9,47,40,"40 (complete×4)"
"Ref",0.8,0.724,0.6,0.9,50,40,"40 (complete×4)"
"Lumped",0.9,0.796,0.725,0.9,50,40,"40 (complete×4)"
