"n_h2h","scenario","model","median_rho","mean_rho","q25","q75","n_reps"
0,"0 (star)","A",0.8,0.719565217391304,0.6,0.9,46
0,"0 (star)","B",0.7,0.702222222222222,0.6,0.9,45
0,"0 (star)","Ref",0.8,0.70204081632653,0.6,0.9,49
0,"0 (star)","Lumped",0.7,0.631818181818182,0.4,0.9,44
5,"5 (cycle)","A",0.75,0.689130434782608,NA,NA,46
5,"5 (cycle)","B",0.8,0.688372093023256,NA,NA,43
5,"5 (cycle)","Ref",0.7,0.695454545454545,NA,NA,44
5,"5 (cycle)","Lumped",0.8,0.634146341463415,NA,NA,41
10,"10 (complete×1)","A",0.8,0.740909090909091,NA,NA,44
10,"10 (complete×1)","B",0.8,0.746666666666666,NA,NA,45
10,"10 (complete×1)","Ref",0.8,0.728,NA,NA,50
10,"10 (complete×1)","Lumped",0.75,0.697619047619047,NA,NA,42
20,"20 (complete×2)","A",0.8,0.729166666666667,NA,NA,48
20,"20 (complete×2)","B",0.8,0.726530612244898,NA,NA,49
20,"20 (complete×2)","Ref",0.8,0.728,NA,NA,50
20,"20 (complete×2)","Lumped",0.8,0.720930232558139,NA,NA,43
40,"40 (complete×4)","A",0.8,0.733333333333333,NA,NA,48
40,"40 (complete×4)","B",0.8,0.738297872340425,NA,NA,47
40,"40 (complete×4)","Ref",0.8,0.724,NA,NA,50
40,"40 (complete×4)","Lumped",0.9,0.796,NA,NA,50
