"model","agent","bias","n_reps","scenario"
"A","citalopram",0.0403,49,"2× studies"
"A","escitalopram",0.0673,49,"2× studies"
"A","fluoxetine",0.0511,49,"2× studies"
"A","paroxetine",0.035,49,"2× studies"
"A","sertraline",0.0293,49,"2× studies"
"B","citalopram",0.0025,47,"2× studies"
"B","escitalopram",0.0339,47,"2× studies"
"B","fluoxetine",0.0363,47,"2× studies"
"B","paroxetine",-0.0083,47,"2× studies"
"B","sertraline",0.004,47,"2× studies"
"Ref","citalopram",0.0911,50,"2× studies"
"Ref","escitalopram",0.1094,50,"2× studies"
"Ref","fluoxetine",0.064,50,"2× studies"
"Ref","paroxetine",0.0913,50,"2× studies"
"Ref","sertraline",0.0362,50,"2× studies"
"Lumped","citalopram",-0.2941,49,"2× studies"
"Lumped","escitalopram",-0.218,49,"2× studies"
"Lumped","fluoxetine",-0.0924,49,"2× studies"
"Lumped","paroxetine",-0.2597,49,"2× studies"
"Lumped","sertraline",-0.208,49,"2× studies"
"A","citalopram",0.0561,48,"3× studies"
"A","escitalopram",0.0417,48,"3× studies"
"A","fluoxetine",0.0096,48,"3× studies"
"A","paroxetine",0.0237,48,"3× studies"
"A","sertraline",0.082,48,"3× studies"
"B","citalopram",0.0185,50,"3× studies"
"B","escitalopram",0.0124,50,"3× studies"
"B","fluoxetine",-0.0014,50,"3× studies"
"B","paroxetine",-0.0141,50,"3× studies"
"B","sertraline",0.0622,50,"3× studies"
"Ref","citalopram",0.1117,50,"3× studies"
"Ref","escitalopram",0.0819,50,"3× studies"
"Ref","fluoxetine",0.0296,50,"3× studies"
"Ref","paroxetine",0.0848,50,"3× studies"
"Ref","sertraline",0.096,50,"3× studies"
"Lumped","citalopram",-0.2805,49,"3× studies"
"Lumped","escitalopram",-0.2364,49,"3× studies"
"Lumped","fluoxetine",-0.1181,49,"3× studies"
"Lumped","paroxetine",-0.2635,49,"3× studies"
"Lumped","sertraline",-0.155,49,"3× studies"
"A","citalopram",0.0625,47,"Dose-enriched"
"A","escitalopram",0.0141,47,"Dose-enriched"
"A","fluoxetine",0.0377,47,"Dose-enriched"
"A","paroxetine",0.07,47,"Dose-enriched"
"A","sertraline",0.0358,47,"Dose-enriched"
"B","citalopram",0.0316,45,"Dose-enriched"
"B","escitalopram",-0.0163,45,"Dose-enriched"
"B","fluoxetine",0.0163,45,"Dose-enriched"
"B","paroxetine",0.0124,45,"Dose-enriched"
"B","sertraline",0.0142,45,"Dose-enriched"
"Ref","citalopram",0.137,49,"Dose-enriched"
"Ref","escitalopram",0.0524,49,"Dose-enriched"
"Ref","fluoxetine",0.0444,49,"Dose-enriched"
"Ref","paroxetine",0.1187,49,"Dose-enriched"
"Ref","sertraline",0.0852,49,"Dose-enriched"
"Lumped","citalopram",-0.257,48,"Dose-enriched"
"Lumped","escitalopram",-0.1921,48,"Dose-enriched"
"Lumped","fluoxetine",-0.1089,48,"Dose-enriched"
"Lumped","paroxetine",-0.2454,48,"Dose-enriched"
"Lumped","sertraline",-0.1785,48,"Dose-enriched"
