"scenario","model","agent","median_width","mean_width","n_reps"
"density_2x","A","citalopram",0.574,0.572,49
"density_2x","A","escitalopram",0.546,0.549,49
"density_2x","A","fluoxetine",0.488,0.487,49
"density_2x","A","paroxetine",0.402,0.409,49
"density_2x","A","sertraline",0.931,0.946,49
"density_2x","B","citalopram",0.568,0.564,47
"density_2x","B","escitalopram",0.536,0.538,47
"density_2x","B","fluoxetine",0.466,0.465,47
"density_2x","B","paroxetine",0.422,0.421,47
"density_2x","B","sertraline",0.897,0.903,47
"density_2x","Ref","citalopram",0.607,0.606,50
"density_2x","Ref","escitalopram",0.586,0.592,50
"density_2x","Ref","fluoxetine",0.531,0.527,50
"density_2x","Ref","paroxetine",0.431,0.434,50
"density_2x","Ref","sertraline",0.976,0.994,50
"density_2x","Lumped","citalopram",0.612,0.618,49
"density_2x","Lumped","escitalopram",0.467,0.469,49
"density_2x","Lumped","fluoxetine",0.332,0.332,49
"density_2x","Lumped","paroxetine",0.317,0.317,49
"density_2x","Lumped","sertraline",0.835,0.865,49
"density_3x","A","citalopram",0.461,0.461,48
"density_3x","A","escitalopram",0.443,0.446,48
"density_3x","A","fluoxetine",0.391,0.393,48
"density_3x","A","paroxetine",0.335,0.335,48
"density_3x","A","sertraline",0.777,0.777,48
"density_3x","B","citalopram",0.466,0.464,50
"density_3x","B","escitalopram",0.439,0.441,50
"density_3x","B","fluoxetine",0.376,0.375,50
"density_3x","B","paroxetine",0.35,0.352,50
"density_3x","B","sertraline",0.743,0.746,50
"density_3x","Ref","citalopram",0.49,0.493,50
"density_3x","Ref","escitalopram",0.481,0.48,50
"density_3x","Ref","fluoxetine",0.426,0.426,50
"density_3x","Ref","paroxetine",0.35,0.35,50
"density_3x","Ref","sertraline",0.807,0.814,50
"density_3x","Lumped","citalopram",0.473,0.478,49
"density_3x","Lumped","escitalopram",0.373,0.372,49
"density_3x","Lumped","fluoxetine",0.259,0.259,49
"density_3x","Lumped","paroxetine",0.246,0.247,49
"density_3x","Lumped","sertraline",0.687,0.693,49
"density_enriched","A","citalopram",0.739,0.725,47
"density_enriched","A","escitalopram",0.695,0.695,47
"density_enriched","A","fluoxetine",0.641,0.645,47
"density_enriched","A","paroxetine",0.527,0.523,47
"density_enriched","A","sertraline",1.075,1.075,47
"density_enriched","B","citalopram",0.708,0.711,45
"density_enriched","B","escitalopram",0.68,0.673,45
"density_enriched","B","fluoxetine",0.604,0.609,45
"density_enriched","B","paroxetine",0.533,0.528,45
"density_enriched","B","sertraline",1.037,1.021,45
"density_enriched","Ref","citalopram",0.784,0.774,49
"density_enriched","Ref","escitalopram",0.754,0.751,49
"density_enriched","Ref","fluoxetine",0.694,0.693,49
"density_enriched","Ref","paroxetine",0.564,0.554,49
"density_enriched","Ref","sertraline",1.153,1.152,49
"density_enriched","Lumped","citalopram",0.664,0.66,48
"density_enriched","Lumped","escitalopram",0.562,0.556,48
"density_enriched","Lumped","fluoxetine",0.43,0.427,48
"density_enriched","Lumped","paroxetine",0.394,0.389,48
"density_enriched","Lumped","sertraline",0.871,0.867,48
