"model","median_rho","mean_rho","q25","q75","n_reps","scenario","scenario_id"
"A",0.9,0.808163265306122,0.8,0.9,49,"2× studies","density_2x"
"B",0.9,0.802127659574468,0.8,0.9,47,"2× studies","density_2x"
"Ref",0.9,0.826,0.8,0.975,50,"2× studies","density_2x"
"Lumped",0.8,0.716326530612245,0.6,0.9,49,"2× studies","density_2x"
"A",0.9,0.804166666666666,0.7,0.9,48,"3× studies","density_3x"
"B",0.9,0.8,0.7,0.975,50,"3× studies","density_3x"
"Ref",0.9,0.826,0.8,0.9,50,"3× studies","density_3x"
"Lumped",0.9,0.759183673469388,0.7,0.9,49,"3× studies","density_3x"
"A",0.9,0.8,0.7,0.9,47,"Dose-enriched","density_enriched"
"B",0.9,0.8,0.7,0.9,45,"Dose-enriched","density_enriched"
"Ref",0.8,0.787755102040816,0.7,0.9,49,"Dose-enriched","density_enriched"
"Lumped",0.7,0.672916666666666,0.5,0.9,48,"Dose-enriched","density_enriched"
