"tau","model","agent","median_width","mean_width","n_reps"
0.27,"A","citalopram",0.822,0.814,46
0.27,"A","escitalopram",0.773,0.78,46
0.27,"A","fluoxetine",0.69,0.699,46
0.27,"A","paroxetine",0.581,0.592,46
0.27,"A","sertraline",1.344,1.37,46
0.27,"B","citalopram",0.791,0.787,45
0.27,"B","escitalopram",0.738,0.755,45
0.27,"B","fluoxetine",0.653,0.662,45
0.27,"B","paroxetine",0.58,0.59,45
0.27,"B","sertraline",1.248,1.308,45
0.27,"Ref","citalopram",0.874,0.866,49
0.27,"Ref","escitalopram",0.832,0.839,49
0.27,"Ref","fluoxetine",0.753,0.756,49
0.27,"Ref","paroxetine",0.619,0.632,49
0.27,"Ref","sertraline",1.393,1.454,49
0.27,"Lumped","citalopram",0.866,0.872,44
0.27,"Lumped","escitalopram",0.674,0.663,44
0.27,"Lumped","fluoxetine",0.467,0.471,44
0.27,"Lumped","paroxetine",0.447,0.454,44
0.27,"Lumped","sertraline",1.214,1.228,44
0.2,"A","citalopram",0.722,0.727,36
0.2,"A","escitalopram",0.69,0.702,36
0.2,"A","fluoxetine",0.612,0.624,36
0.2,"A","paroxetine",0.513,0.517,36
0.2,"A","sertraline",1.226,1.249,36
0.2,"B","citalopram",0.705,0.708,27
0.2,"B","escitalopram",0.661,0.686,27
0.2,"B","fluoxetine",0.58,0.601,27
0.2,"B","paroxetine",0.521,0.517,27
0.2,"B","sertraline",1.18,1.18,27
0.2,"Ref","citalopram",0.788,0.791,40
0.2,"Ref","escitalopram",0.739,0.755,40
0.2,"Ref","fluoxetine",0.675,0.68,40
0.2,"Ref","paroxetine",0.54,0.548,40
0.2,"Ref","sertraline",1.244,1.28,40
0.2,"Lumped","citalopram",0.762,0.774,34
0.2,"Lumped","escitalopram",0.599,0.61,34
0.2,"Lumped","fluoxetine",0.418,0.419,34
0.2,"Lumped","paroxetine",0.387,0.393,34
0.2,"Lumped","sertraline",1.123,1.115,34
0.15,"A","citalopram",0.72,0.72,18
0.15,"A","escitalopram",0.653,0.664,18
0.15,"A","fluoxetine",0.605,0.592,18
0.15,"A","paroxetine",0.496,0.504,18
0.15,"A","sertraline",1.13,1.128,18
0.15,"B","citalopram",0.659,0.673,20
0.15,"B","escitalopram",0.629,0.641,20
0.15,"B","fluoxetine",0.547,0.552,20
0.15,"B","paroxetine",0.489,0.493,20
0.15,"B","sertraline",1.013,1.065,20
0.15,"Ref","citalopram",0.722,0.724,28
0.15,"Ref","escitalopram",0.696,0.71,28
0.15,"Ref","fluoxetine",0.63,0.646,28
0.15,"Ref","paroxetine",0.531,0.533,28
0.15,"Ref","sertraline",1.143,1.187,28
0.15,"Lumped","citalopram",0.69,0.717,29
0.15,"Lumped","escitalopram",0.571,0.571,29
0.15,"Lumped","fluoxetine",0.392,0.396,29
0.15,"Lumped","paroxetine",0.386,0.391,29
0.15,"Lumped","sertraline",1.104,1.11,29
0.1,"A","citalopram",0.696,0.696,19
0.1,"A","escitalopram",0.602,0.617,19
0.1,"A","fluoxetine",0.553,0.552,19
0.1,"A","paroxetine",0.469,0.47,19
0.1,"A","sertraline",1.093,1.21,19
0.1,"B","citalopram",0.645,0.665,14
0.1,"B","escitalopram",0.587,0.607,14
0.1,"B","fluoxetine",0.54,0.539,14
0.1,"B","paroxetine",0.477,0.484,14
0.1,"B","sertraline",1.045,1.128,14
0.1,"Ref","citalopram",0.657,0.689,21
0.1,"Ref","escitalopram",0.64,0.662,21
0.1,"Ref","fluoxetine",0.581,0.586,21
0.1,"Ref","paroxetine",0.508,0.503,21
0.1,"Ref","sertraline",1.238,1.29,21
0.1,"Lumped","citalopram",0.71,0.697,25
0.1,"Lumped","escitalopram",0.503,0.51,25
0.1,"Lumped","fluoxetine",0.363,0.366,25
0.1,"Lumped","paroxetine",0.337,0.347,25
0.1,"Lumped","sertraline",0.955,0.99,25
0.05,"A","citalopram",0.648,0.631,12
0.05,"A","escitalopram",0.596,0.617,12
0.05,"A","fluoxetine",0.538,0.545,12
0.05,"A","paroxetine",0.44,0.436,12
0.05,"A","sertraline",0.993,1.044,12
0.05,"B","citalopram",0.61,0.602,7
0.05,"B","escitalopram",0.631,0.627,7
0.05,"B","fluoxetine",0.525,0.523,7
0.05,"B","paroxetine",0.462,0.456,7
0.05,"B","sertraline",0.99,1.063,7
0.05,"Ref","citalopram",0.686,0.673,20
0.05,"Ref","escitalopram",0.63,0.65,20
0.05,"Ref","fluoxetine",0.58,0.569,20
0.05,"Ref","paroxetine",0.466,0.467,20
0.05,"Ref","sertraline",1.054,1.094,20
0.05,"Lumped","citalopram",0.63,0.66,31
0.05,"Lumped","escitalopram",0.523,0.523,31
0.05,"Lumped","fluoxetine",0.357,0.363,31
0.05,"Lumped","paroxetine",0.345,0.346,31
0.05,"Lumped","sertraline",0.978,0.961,31
