"tau","model","median_rho","mean_rho","q25","q75","n_reps"
0.27,"A",0.8,0.719565217391304,0.6,0.9,46
0.27,"B",0.7,0.702222222222222,0.6,0.9,45
0.27,"Ref",0.8,0.70204081632653,0.6,0.9,49
0.27,"Lumped",0.7,0.631818181818182,0.4,0.9,44
0.2,"A",0.7,0.691666666666667,0.6,0.9,36
0.2,"B",0.7,0.718518518518518,0.6,0.9,27
0.2,"Ref",0.85,0.7625,0.6,0.9,40
0.2,"Lumped",0.7,0.641176470588235,0.425,0.9,34
0.15,"A",0.7,0.705555555555555,0.7,0.9,18
0.15,"B",0.7,0.715,0.7,0.9,20
0.15,"Ref",0.7,0.714285714285714,0.6,0.9,28
0.15,"Lumped",0.9,0.737931034482758,0.5,0.9,29
0.1,"A",0.8,0.778947368421052,0.7,0.9,19
0.1,"B",0.9,0.828571428571428,0.725,0.975,14
0.1,"Ref",0.8,0.780952380952381,0.8,0.9,21
0.1,"Lumped",0.9,0.788,0.8,0.9,25
0.05,"A",0.7,0.633333333333333,0.4,0.9,12
0.05,"B",0.9,0.728571428571428,0.55,0.95,7
0.05,"Ref",0.9,0.785,0.6,1,20
0.05,"Lumped",0.9,0.764516129032258,0.7,0.9,31
