"Agent","10mg","20mg","40mg","Max"
"reboxetine",1.16,1.15,1.14,1.08
"duloxetine",3.75,3.7,3.87,4.38
"mirtazapine",6.36,6.11,5.85,8.04
"escitalopram",6.65,6.68,6.89,6.91
"vortioxetine",8.07,7.8,7.46,8.89
"trazodone",8.49,8.42,8.36,13.17
"levomilnacipran",8.52,8.61,8.84,13.66
"clomipramine",9.6,9.32,8.9,7.18
"paroxetine",9.33,9.47,9.72,9.33
"vilazodone",11.21,10.98,10.66,11.9
"amitriptyline",11.65,11.43,10.98,5.41
"fluoxetine",11.32,11.54,11.72,8.7
"milnacipran",12.05,12.25,12.55,13.39
"agomelatine",13.09,12.94,12.62,14.1
"venlafaxine",13.14,13.47,13.88,6.31
"desvenlafaxine",13.31,13.61,13.91,14.62
"citalopram",13.7,13.94,14.16,11.41
"nefazodone",14.06,13.99,13.89,16.54
"bupropion",16.54,16.47,16.33,17.26
"fluvoxamine",19.42,19.49,19.54,19.32
"sertraline",19.56,19.64,19.71,19.38
