"study","Model A","Ref","diff","A_better"
"Altamura1989b",2330.74490939926,2322.39222381714,8.3526855821151,FALSE
"Alvarez2012 (11492A, NCT00839423)",2306.63197895941,2294.15445193179,12.4775270276209,FALSE
"Amini2005",2316.14437261703,2327.15708565254,-11.0127130355127,TRUE
"Andersen1986",2333.0737160001,2316.68500012902,16.388715871075,FALSE
"Ansseau1989a",2330.62414476793,2311.12284321119,19.5013015567429,FALSE
"Ansseau1989b",2321.25185159315,2313.405286897,7.84656469614856,FALSE
"Ansseau1991",2293.80568037935,2298.20548292074,-4.39980254139118,TRUE
"Ansseau1994b",2315.51448164617,2307.05185002735,8.46263161882462,FALSE
"Baldwin2012 (11984A, NCT00635219)",2298.02951773216,2311.76396031467,-13.7344425825086,TRUE
"Benkert2006(C-1763)",2331.35092148031,2307.60929464981,23.7416268304992,FALSE
"Bielski2004 (SCT-MD-12)",2327.28863667997,2318.95819477144,8.33044190852661,FALSE
"Boulenger2014 (13267A, NCT01140906)",2305.21626411323,2296.07325334896,9.14301076427091,FALSE
"CL3-20098-022",2298.34216942659,2302.98827984477,-4.64611041818443,TRUE
"CL3-20098-023",2302.30083085294,2304.9647583576,-2.6639275046623,TRUE
"Clerc1994",2320.90181456366,2306.91654443984,13.9852701238192,FALSE
"Clerc2001",2312.91030249688,2324.87130766726,-11.9610051703858,TRUE
"DUAG1990",2297.8337049434,2322.14899696978,-24.3152920263751,TRUE
"Demyttenaere1998",2324.71463288662,2313.32002324681,11.3946096398113,FALSE
"Detke2004 (HMAY Study Group A)",2299.26496781809,2299.36730206305,-0.102334244959366,TRUE
"Goldstein2004a (HMAT - Study Group A, ID#4091)",2306.76379953249,2291.38384741686,15.3799521156361,FALSE
"Goldstein2004b (HMAT  - Study Group B, ID#4091)",2316.99055832367,2309.84029531295,7.15026301072112,FALSE
"Guelfi1998",2296.48928799654,2309.48658768138,-12.9972996848405,TRUE
"Guillibert1989 (PAR 290 MDF 29060 1727 M)",2326.64959767368,2323.76834961199,2.88124806169026,FALSE
"Hackett1998",2316.50998428306,2336.43956162315,-19.9295773400981,TRUE
"Hao2014",2325.30107240888,2304.22669598146,21.0743764274175,FALSE
"Higuchi2009",2294.8875021221,2285.76369571528,9.12380640682841,FALSE
"Katona2012 (12541A, NCT00811252)",2313.97104749253,2309.30197722324,4.66907026928902,FALSE
"Kerkhofs1990",2307.69947364925,2309.66171523666,-1.96224158740961,TRUE
"Kuhs1989 (MDUK_29060_III_85_043)",2322.5577241616,2309.10377336114,13.4539508004614,FALSE
"Lee2007 (F1J-AA-HMCV) (NCT00489775)",2311.7593861754,2314.26290979793,-2.50352362252852,TRUE
"Lemoine2007 (CL3-20098-035)",2327.89147322289,2321.02714504436,6.86432817852801,FALSE
"Loo2002 (CL2-014)",2322.79987922191,2313.56333952902,9.23653969289398,FALSE
"Mahableshwarkar2013 (304, NCT00672620)",2293.57141837345,2319.2693093666,-25.6978909931454,TRUE
"Mahableshwarkar2015a (315, NCT01153009)",2300.29508155349,2297.42398835364,2.87109319985711,FALSE
"Manna1989",2317.5819222007,2326.14467692732,-8.56275472662082,TRUE
"Mathews2015 (NCT01473381)",2303.00324871356,2316.4625039565,-13.4592552429417,TRUE
"McPartlin1998",2316.23995229266,2314.05061743234,2.1893348603262,FALSE
"Montgomery2004b (CL3-20098-030)",2319.51926587356,2319.99725386597,-0.477987992407634,TRUE
"Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007)",2310.86855038632,2298.59907274799,12.2694776383264,FALSE
"Pelicier1993 (PAR MDED/29060/III/86/1728M291)",2317.43635779612,2301.37219596352,16.064161832599,FALSE
"Perahia2006 (HMAY - Study Group B)",2304.29919618333,2293.71896044849,10.5802357348384,FALSE
"Ropert1989",2302.98778098078,2314.07713411933,-11.0893531385577,TRUE
"Sechter2004",2296.53450035169,2305.23795592041,-8.70345556871598,TRUE
"Staner1995 (063)",2323.38372475285,2320.01355208345,3.37017266940211,FALSE
"Szegedi2006",2314.57173200453,2303.29190356498,11.2798284395453,FALSE
"Wade2007 (Study 10990)",2314.3149893759,2323.9841753091,-9.66918593320179,TRUE
"Wang2015 (NCT01571453, KCT0000432, 13926A)",2317.27773953377,2318.64423747179,-1.36649793802644,TRUE
