"prior","agent","sucra"
"U(0, 2)","agomelatine",0.420766666666667
"U(0, 2)","amitriptyline",0.47675
"U(0, 2)","bupropion",0.260333333333333
"U(0, 2)","citalopram",0.342133333333333
"U(0, 2)","clomipramine",0.594416666666667
"U(0, 2)","desvenlafaxine",0.383033333333333
"U(0, 2)","duloxetine",0.870983333333333
"U(0, 2)","escitalopram",0.699566666666667
"U(0, 2)","fluoxetine",0.486266666666667
"U(0, 2)","fluvoxamine",0.0673500000000001
"U(0, 2)","levomilnacipran",0.642783333333333
"U(0, 2)","milnacipran",0.394166666666667
"U(0, 2)","mirtazapine",0.756566666666667
"U(0, 2)","nefazodone",0.352783333333333
"U(0, 2)","paroxetine",0.570733333333333
"U(0, 2)","reboxetine",0.989466666666667
"U(0, 2)","sertraline",0.0608000000000001
"U(0, 2)","trazodone",0.622433333333333
"U(0, 2)","venlafaxine",0.298716666666667
"U(0, 2)","vilazodone",0.532366666666667
"U(0, 2)","vortioxetine",0.677583333333333
"U(0, 5)","agomelatine",0.423866666666667
"U(0, 5)","amitriptyline",0.4786
"U(0, 5)","bupropion",0.27115
"U(0, 5)","citalopram",0.345883333333333
"U(0, 5)","clomipramine",0.586233333333333
"U(0, 5)","desvenlafaxine",0.392316666666667
"U(0, 5)","duloxetine",0.8742
"U(0, 5)","escitalopram",0.70565
"U(0, 5)","fluoxetine",0.4779
"U(0, 5)","fluvoxamine",0.0683
"U(0, 5)","levomilnacipran",0.651716666666667
"U(0, 5)","milnacipran",0.38885
"U(0, 5)","mirtazapine",0.7468
"U(0, 5)","nefazodone",0.3488
"U(0, 5)","paroxetine",0.575216666666667
"U(0, 5)","reboxetine",0.990766666666667
"U(0, 5)","sertraline",0.0590166666666667
"U(0, 5)","trazodone",0.605233333333333
"U(0, 5)","venlafaxine",0.29735
"U(0, 5)","vilazodone",0.534833333333333
"U(0, 5)","vortioxetine",0.677316666666667
"U(0, 10)","agomelatine",0.42205
"U(0, 10)","amitriptyline",0.482933333333333
"U(0, 10)","bupropion",0.26875
"U(0, 10)","citalopram",0.3416
"U(0, 10)","clomipramine",0.602583333333333
"U(0, 10)","desvenlafaxine",0.38795
"U(0, 10)","duloxetine",0.869983333333333
"U(0, 10)","escitalopram",0.69785
"U(0, 10)","fluoxetine",0.482766666666667
"U(0, 10)","fluvoxamine",0.0692166666666667
"U(0, 10)","levomilnacipran",0.650283333333333
"U(0, 10)","milnacipran",0.393516666666667
"U(0, 10)","mirtazapine",0.744366666666667
"U(0, 10)","nefazodone",0.3612
