"Agent","10mg","20mg","40mg","Max"
"reboxetine",1.2,1.15,1.15,1.07
"duloxetine",4.4,4,4.66,5.28
"mirtazapine",6.36,5.74,5.43,7.15
"vortioxetine",6.18,6.76,8.28,9.51
"escitalopram",7.96,7.47,6.76,6.83
"trazodone",8.19,7.92,7.76,12.38
"paroxetine",7.4,8.54,10.6,10.57
"levomilnacipran",9.82,9.46,9.05,13.66
"clomipramine",10.56,9.95,8.93,7.25
"amitriptyline",10.93,10.63,10.03,5.42
"vilazodone",11.18,11.1,10.7,11.7
"fluoxetine",12.09,12.13,11.73,8.75
"venlafaxine",11.74,12.26,12.9,6.37
"milnacipran",12.59,12.58,12.38,13.04
"agomelatine",13.35,13.28,12.7,13.95
"desvenlafaxine",13.55,13.92,13.99,14.51
"nefazodone",14.41,14.25,14.04,16.44
"citalopram",14.11,14.36,14.22,11.25
"bupropion",16.5,16.64,16.56,17.37
"sertraline",19.16,19.41,19.63,19.27
"fluvoxamine",19.32,19.46,19.51,19.24
