"agent","median_rank","mean_rank","sucra","d_median","d_lower","d_upper","model","Class","agent_clean"
"agomelatine",15,14.254,0.3373,0.493629946750115,0.186030160559719,0.821440749685657,"Model A","Atypical","Agomelatine"
"amitriptyline",4,5.32,0.784,0.977576707975669,0.516740136652929,1.47427584958645,"Model A","TCA","Amitriptyline"
"bupropion",17,16.9223333333333,0.203883333333333,0.297805714781056,-0.0948267006703283,0.678987405823935,"Model A","Atypical","Bupropion"
"citalopram",11,10.9433333333333,0.502833333333333,0.66466708246325,0.358123016729535,0.988496334917923,"Model A","SSRI","Citalopram"
"clomipramine",6,7.18166666666667,0.690916666666667,0.8673868915585,0.346630415825478,1.419611930514,"Model A","TCA","Clomipramine"
"desvenlafaxine",15,14.4483333333333,0.327583333333333,0.490850756955909,0.228764278501661,0.750193097346,"Model A","SNRI","Desvenlafaxine"
"duloxetine",4,4.093,0.84535,1.00480717227272,0.783784422866824,1.23180141634977,"Model A","SNRI","Duloxetine"
"escitalopram",7,7.338,0.6831,0.825316259933723,0.595976344539455,1.06587047185415,"Model A","SSRI","Escitalopram"
"fluoxetine",7,7.55733333333333,0.672133333333333,0.831008369265733,0.373325704140044,1.31014057275229,"Model A","SSRI","Fluoxetine"
"fluvoxamine",20,19.44,0.0779999999999999,-0.0196113656768632,-0.519716724525959,0.453871310983403,"Model A","SSRI","Fluvoxamine"
"levomilnacipran",15,13.608,0.3696,0.500167594280872,-0.00157049003585179,1.04187281517104,"Model A","SNRI","Levomilnacipran"
"milnacipran",15,14.041,0.34795,0.487880504011295,0.0673059989863019,0.947676077162106,"Model A","SNRI","Milnacipran"
"mirtazapine",9,8.93233333333333,0.603383333333333,0.765161568450854,0.338178454270429,1.20459953102204,"Model A","Atypical","Mirtazapine"
"nefazodone",18.5,16.6026666666667,0.219866666666667,0.171670108740357,-0.779758472742607,1.0920186328639,"Model A","SARI","Nefazodone"
"paroxetine",9,9.207,0.58965,0.745494102735073,0.520037345369992,0.957334836193235,"Model A","SSRI","Paroxetine"
"reboxetine",1,1.09333333333333,0.995333333333333,2.51945471964829,1.19217492964021,4.03017832042949,"Model A","Atypical","Reboxetine"
"sertraline",20,19.6476666666667,0.0676166666666667,-0.0706853953385312,-0.597859596467421,0.460347287617185,"Model A","SSRI","Sertraline"
"trazodone",16,13.801,0.35995,0.410379975900584,-0.623031421153759,1.45374877929097,"Model A","SARI","Trazodone"
"venlafaxine",5,5.24033333333333,0.787983333333333,0.956832588132345,0.585884748976703,1.34322898375574,"Model A","SNRI","Venlafaxine"
"vilazodone",12,11.985,0.45075,0.614620866640328,0.309497212984782,0.904456119671627,"Model A","Atypical","Vilazodone"
"vortioxetine",9,9.34366666666667,0.582816666666667,0.735607179809691,0.491226617187109,0.983078248983067,"Model A","Atypical","Vortioxetine"
"agomelatine",14,13.949,0.35255,0.513573523693012,0.24044817883124,0.801468636962781,"Model B","Atypical","Agomelatine"
"amitriptyline",4,5.41666666666667,0.779166666666667,0.922420751024696,0.486075636451534,1.38648862510026,"Model B","TCA","Amitriptyline"
"bupropion",18,17.3663333333333,0.181683333333333,0.293024304292246,-0.0888567423491764,0.672070502552495,"Model B","Atypical","Bupropion"
"citalopram",11,11.2473333333333,0.487633333333333,0.62975117683566,0.348429671294997,0.932208612046351,"Model B","SSRI","Citalopram"
"clomipramine",6,7.254,0.6873,0.834105310311165,0.32179846786284,1.37279239612378,"Model B","TCA","Clomipramine"
"desvenlafaxine",15,14.506,0.3247,0.49139635943875,0.259482886354731,0.722212198133009,"Model B","SNRI","Desvenlafaxine"
"duloxetine",5,5.27633333333333,0.786183333333333,0.895743749678869,0.632744873046615,1.1754675208681,"Model B","SNRI","Duloxetine"
"escitalopram",7,6.83266666666667,0.708366666666667,0.812051452241763,0.591604037300492,1.01891696184682,"Model B","SSRI","Escitalopram"
"fluoxetine",8,8.74666666666667,0.612666666666667,0.739322050055071,0.337765554724919,1.18005910311008,"Model B","SSRI","Fluoxetine"
"fluvoxamine",20,19.2426666666667,0.0878666666666666,0.0773727454023045,-0.36713350379315,0.54884751391542,"Model B","SSRI","Fluvoxamine"
"levomilnacipran",15,13.6603333333333,0.366983333333333,0.499524723322286,0.0200707495453026,0.983633801868366,"Model B","SNRI","Levomilnacipran"
"milnacipran",14,13.0433333333333,0.397833333333333,0.534286095118687,0.133574726400079,0.960465976921263,"Model B","SNRI","Milnacipran"
"mirtazapine",6,7.15133333333333,0.692433333333333,0.830641089710452,0.392127933095089,1.23573715891302,"Model B","Atypical","Mirtazapine"
"nefazodone",19,16.4406666666667,0.227966666666667,0.20106571565819,-0.704476027850606,1.15071857849666,"Model B","SARI","Nefazodone"
"paroxetine",11,10.571,0.52145,0.657538134550787,0.461972973774789,0.877835067054371,"Model B","SSRI","Paroxetine"
"reboxetine",1,1.06666666666667,0.996666666666667,2.5498398156303,1.25693492853036,3.98733851127246,"Model B","Atypical","Reboxetine"
"sertraline",20,19.266,0.0867000000000001,0.0636449047712627,-0.439269397824058,0.568259129428947,"Model B","SSRI","Sertraline"
"trazodone",14,12.385,0.43075,0.526023328559173,-0.549423136472748,1.55469375717779,"Model B","SARI","Trazodone"
"venlafaxine",6,6.37166666666667,0.731416666666667,0.84123749060485,0.525550688764216,1.18959710960467,"Model B","SNRI","Venlafaxine"
"vilazodone",12,11.697,0.46515,0.612340017185233,0.340053907295782,0.885144981036972,"Model B","Atypical","Vilazodone"
"vortioxetine",9,9.50933333333333,0.574533333333333,0.699503784960346,0.480025294328718,0.931194765393655,"Model B","Atypical","Vortioxetine"
"agomelatine",15,14.302,0.3349,0.484071575656648,0.159418800642831,0.79652891823472,"Ref: Linear","Atypical","Agomelatine"
"amitriptyline",4,5.346,0.7827,0.988295720860578,0.504984550881144,1.48768129696217,"Ref: Linear","TCA","Amitriptyline"
"bupropion",17,16.757,0.21215,0.298325819233062,-0.10367730421662,0.692201682086613,"Ref: Linear","Atypical","Bupropion"
"citalopram",11,10.6293333333333,0.518533333333333,0.678191713085192,0.336393566121576,1.00877262469203,"Ref: Linear","SSRI","Citalopram"
"clomipramine",6,7.22233333333333,0.688883333333333,0.870660365887746,0.31642758365511,1.45063956502113,"Ref: Linear","TCA","Clomipramine"
"desvenlafaxine",15,14.2483333333333,0.337583333333333,0.496212293460978,0.235526771587343,0.751023933111932,"Ref: Linear","SNRI","Desvenlafaxine"
"duloxetine",4,4.056,0.8472,1.02392354590068,0.789535647511294,1.26240111952951,"Ref: Linear","SNRI","Duloxetine"
"escitalopram",7,7.40133333333333,0.679933333333333,0.825942084302952,0.597328315867481,1.06415961727784,"Ref: Linear","SSRI","Escitalopram"
"fluoxetine",6,7.312,0.6844,0.86355099616815,0.359608401188584,1.37644348083947,"Ref: Linear","SSRI","Fluoxetine"
"fluvoxamine",20,19.5266666666667,0.0736666666666666,-0.048452833633038,-0.534692490216585,0.44851620319655,"Ref: Linear","SSRI","Fluvoxamine"
"levomilnacipran",14,13.6023333333333,0.369883333333333,0.495924281158056,-0.0417094160346016,1.03203051116133,"Ref: Linear","SNRI","Levomilnacipran"
"milnacipran",15,14.3176666666667,0.334116666666667,0.466416733253559,0.0234493657933812,0.92385929128093,"Ref: Linear","SNRI","Milnacipran"
"mirtazapine",9,9.43166666666667,0.578416666666667,0.738140126070892,0.298843791669489,1.17795831365147,"Ref: Linear","Atypical","Mirtazapine"
"nefazodone",19,16.6633333333333,0.216833333333333,0.164400549463123,-0.823308098725726,1.13454578512113,"Ref: Linear","SARI","Nefazodone"
"paroxetine",9,9.11,0.5945,0.749149625387524,0.511135323530067,0.986347843617455,"Ref: Linear","SSRI","Paroxetine"
"reboxetine",1,1.08633333333333,0.995683333333333,2.55990080571256,1.22495185229472,3.96774356165122,"Ref: Linear","Atypical","Reboxetine"
"sertraline",20,19.6996666666667,0.0650166666666667,-0.0963259673146722,-0.63719414017411,0.426305631876308,"Ref: Linear","SSRI","Sertraline"
"trazodone",16,13.8693333333333,0.356533333333333,0.408757339236853,-0.691333118912302,1.48844765481174,"Ref: Linear","SARI","Trazodone"
"venlafaxine",4,4.93733333333333,0.803133333333333,0.994242581504174,0.575848024589334,1.40180391454326,"Ref: Linear","SNRI","Venlafaxine"
"vilazodone",12,12.1063333333333,0.444683333333333,0.604843245846274,0.309230872232427,0.907743007919907,"Ref: Linear","Atypical","Vilazodone"
"vortioxetine",9,9.375,0.58125,0.739319816290565,0.470557414420831,0.983829791948886,"Ref: Linear","Atypical","Vortioxetine"
"agomelatine",13,12.7633333333333,0.346481481481481,0.381766902192746,0.104470783285771,0.659726715964918,"Lumped NMA","Atypical","Agomelatine"
"amitriptyline",5,5.951,0.724944444444444,0.690308441215304,0.284826448079788,1.09600290157138,"Lumped NMA","TCA","Amitriptyline"
"bupropion",15,14.1106666666667,0.27162962962963,0.28987293691517,-0.106199323014137,0.695912199951516,"Lumped NMA","Atypical","Bupropion"
"citalopram",16,15.7863333333333,0.178537037037037,0.229334129345288,-0.0943236199934915,0.535978086772364,"Lumped NMA","SSRI","Citalopram"
"clomipramine",10,10.1126666666667,0.493740740740741,0.481694505827771,0.0560906305614777,0.924538159027079,"Lumped NMA","TCA","Clomipramine"
"desvenlafaxine",12,11.5253333333333,0.415259259259259,0.430415149674672,0.140204593842683,0.699144233912139,"Lumped NMA","SNRI","Desvenlafaxine"
"duloxetine",7,6.91566666666667,0.671351851851852,0.604465141800582,0.424788364738605,0.797331062854248,"Lumped NMA","SNRI","Duloxetine"
