"agent","Class","Model A","Model B","Ref: Linear","Lumped NMA"
"reboxetine","Atypical",0.995333333333333,0.996666666666667,0.995683333333333,0.998092592592593
"mirtazapine","Atypical",0.603383333333333,0.692433333333333,0.578416666666667,0.822111111111111
"vortioxetine","Atypical",0.582816666666667,0.574533333333333,0.58125,0.342092592592593
"vilazodone","Atypical",0.45075,0.46515,0.444683333333333,0.646
"agomelatine","Atypical",0.3373,0.35255,0.3349,0.346481481481481
"bupropion","Atypical",0.203883333333333,0.181683333333333,0.21215,0.27162962962963
"trazodone","SARI",0.35995,0.43075,0.356533333333333,0.636259259259259
"nefazodone","SARI",0.219866666666667,0.227966666666667,0.216833333333333,NA
"duloxetine","SNRI",0.84535,0.786183333333333,0.8472,0.671351851851852
"venlafaxine","SNRI",0.787983333333333,0.731416666666667,0.803133333333333,0.503240740740741
"levomilnacipran","SNRI",0.3696,0.366983333333333,0.369883333333333,NA
"milnacipran","SNRI",0.34795,0.397833333333333,0.334116666666667,0.470240740740741
"desvenlafaxine","SNRI",0.327583333333333,0.3247,0.337583333333333,0.415259259259259
"escitalopram","SSRI",0.6831,0.708366666666667,0.679933333333333,0.743925925925926
"fluoxetine","SSRI",0.672133333333333,0.612666666666667,0.6844,0.360944444444444
"paroxetine","SSRI",0.58965,0.52145,0.5945,0.566074074074074
"citalopram","SSRI",0.502833333333333,0.487633333333333,0.518533333333333,0.178537037037037
"fluvoxamine","SSRI",0.0779999999999999,0.0878666666666666,0.0736666666666666,0.190481481481481
"sertraline","SSRI",0.0676166666666667,0.0867000000000001,0.0650166666666667,0.118592592592593
"amitriptyline","TCA",0.784,0.779166666666667,0.7827,0.724944444444444
"clomipramine","TCA",0.690916666666667,0.6873,0.688883333333333,0.493740740740741
