"model","agent","bias","bias_se","mse","mse_se","n_reps"
"A","citalopram",0.0899,0.0311,0.0517,0.0101,46
"A","escitalopram",0.056,0.0315,0.0477,0.0106,46
"A","fluoxetine",0.0229,0.0275,0.0346,0.0053,46
"A","paroxetine",0.0607,0.0243,0.0302,0.0053,46
"A","sertraline",0.0237,0.0495,0.1106,0.0175,46
"B","citalopram",0.0213,0.0305,0.0413,0.008,45
"B","escitalopram",0.0422,0.028,0.0362,0.0081,45
"B","fluoxetine",0.0064,0.0265,0.031,0.0048,45
"B","paroxetine",0.0153,0.0229,0.0233,0.0041,45
"B","sertraline",0.0021,0.05,0.1099,0.0207,45
"Ref","citalopram",0.1155,0.0312,0.0601,0.0119,49
"Ref","escitalopram",0.0973,0.0329,0.0615,0.0128,49
"Ref","fluoxetine",0.0389,0.0285,0.0405,0.0066,49
"Ref","paroxetine",0.1121,0.0246,0.0417,0.007,49
"Ref","sertraline",0.0258,0.0548,0.1446,0.0245,49
"Lumped","citalopram",-0.2834,0.0298,0.1186,0.0198,44
"Lumped","escitalopram",-0.2135,0.0214,0.0654,0.0106,44
"Lumped","fluoxetine",-0.1449,0.0154,0.0312,0.0048,44
"Lumped","paroxetine",-0.2279,0.0184,0.0665,0.0093,44
"Lumped","sertraline",-0.1727,0.0486,0.1314,0.0178,44
