"model","agent","true_rank","mean_est_rank","mean_abs_error","n_reps"
"A","citalopram",1,1.98,0.98,46
"A","escitalopram",3,3.15,0.63,46
"A","fluoxetine",5,4.38,0.62,46
"A","paroxetine",2,2.14,0.5,46
"A","sertraline",4,3.35,0.89,46
"B","citalopram",1,2.06,1.06,45
"B","escitalopram",3,3.08,0.6,45
"B","fluoxetine",5,4.39,0.61,45
"B","paroxetine",2,2.15,0.5,45
"B","sertraline",4,3.32,0.93,45
"Ref","citalopram",1,2.06,1.06,49
"Ref","escitalopram",3,3.1,0.62,49
"Ref","fluoxetine",5,4.35,0.65,49
"Ref","paroxetine",2,2.1,0.5,49
"Ref","sertraline",4,3.39,0.9,49
"Lumped","citalopram",1,2.3,1.3,44
"Lumped","escitalopram",3,3.16,0.67,44
"Lumped","fluoxetine",5,4.34,0.66,44
"Lumped","paroxetine",2,2.06,0.5,44
"Lumped","sertraline",4,3.14,1.08,44
