"prior","agent","sucra"
"U(0, 2)","citalopram",0.76675
"U(0, 2)","escitalopram",0.46275
"U(0, 2)","fluoxetine",0.126666666666667
"U(0, 2)","paroxetine",0.88325
"U(0, 2)","sertraline",0.260583333333333
"U(0, 5)","citalopram",0.772416666666667
"U(0, 5)","escitalopram",0.461083333333333
"U(0, 5)","fluoxetine",0.1225
"U(0, 5)","paroxetine",0.87475
"U(0, 5)","sertraline",0.26925
"U(0, 10)","citalopram",0.769416666666667
"U(0, 10)","escitalopram",0.469916666666667
"U(0, 10)","fluoxetine",0.127083333333333
"U(0, 10)","paroxetine",0.88275
"U(0, 10)","sertraline",0.250833333333333
"HN(0, 0.5)","citalopram",0.767083333333333
"HN(0, 0.5)","escitalopram",0.464
"HN(0, 0.5)","fluoxetine",0.12375
"HN(0, 0.5)","paroxetine",0.890916666666667
"HN(0, 0.5)","sertraline",0.25425
"HN(0, 1)","citalopram",0.76475
"HN(0, 1)","escitalopram",0.46625
"HN(0, 1)","fluoxetine",0.119833333333333
"HN(0, 1)","paroxetine",0.886083333333333
"HN(0, 1)","sertraline",0.263083333333333
"HN(0, 2)","citalopram",0.7565
"HN(0, 2)","escitalopram",0.4725
"HN(0, 2)","fluoxetine",0.124666666666667
"HN(0, 2)","paroxetine",0.89025
"HN(0, 2)","sertraline",0.256083333333333
"HC(0, 0.5)","citalopram",0.763333333333333
"HC(0, 0.5)","escitalopram",0.474833333333333
"HC(0, 0.5)","fluoxetine",0.12275
"HC(0, 0.5)","paroxetine",0.884083333333333
"HC(0, 0.5)","sertraline",0.255
"LN(-2.34, 1.62²)","citalopram",0.768666666666667
"LN(-2.34, 1.62²)","escitalopram",0.464416666666667
"LN(-2.34, 1.62²)","fluoxetine",0.120333333333333
"LN(-2.34, 1.62²)","paroxetine",0.886166666666667
"LN(-2.34, 1.62²)","sertraline",0.260416666666667
