"model","agent","coverage","n_reps","tau"
"A","citalopram",0.889,36,0.2
"A","escitalopram",0.972,36,0.2
"A","fluoxetine",0.972,36,0.2
"A","paroxetine",1,36,0.2
"A","sertraline",0.861,36,0.2
"B","citalopram",0.926,27,0.2
"B","escitalopram",1,27,0.2
"B","fluoxetine",0.926,27,0.2
"B","paroxetine",0.963,27,0.2
"B","sertraline",0.889,27,0.2
"Ref","citalopram",0.875,40,0.2
"Ref","escitalopram",0.95,40,0.2
"Ref","fluoxetine",0.95,40,0.2
"Ref","paroxetine",0.95,40,0.2
"Ref","sertraline",0.925,40,0.2
"Lumped","citalopram",0.765,34,0.2
"Lumped","escitalopram",0.676,34,0.2
"Lumped","fluoxetine",0.824,34,0.2
"Lumped","paroxetine",0.176,34,0.2
"Lumped","sertraline",0.941,34,0.2
"A","citalopram",0.944,18,0.15
"A","escitalopram",0.889,18,0.15
"A","fluoxetine",1,18,0.15
"A","paroxetine",1,18,0.15
"A","sertraline",1,18,0.15
"B","citalopram",0.95,20,0.15
"B","escitalopram",0.85,20,0.15
"B","fluoxetine",0.95,20,0.15
"B","paroxetine",1,20,0.15
"B","sertraline",1,20,0.15
"Ref","citalopram",0.893,28,0.15
"Ref","escitalopram",0.893,28,0.15
"Ref","fluoxetine",1,28,0.15
"Ref","paroxetine",1,28,0.15
"Ref","sertraline",1,28,0.15
"Lumped","citalopram",0.621,29,0.15
"Lumped","escitalopram",0.586,29,0.15
"Lumped","fluoxetine",0.862,29,0.15
"Lumped","paroxetine",0.172,29,0.15
"Lumped","sertraline",0.862,29,0.15
"A","citalopram",1,19,0.1
"A","escitalopram",0.895,19,0.1
"A","fluoxetine",1,19,0.1
"A","paroxetine",1,19,0.1
"A","sertraline",0.947,19,0.1
"B","citalopram",1,14,0.1
"B","escitalopram",1,14,0.1
"B","fluoxetine",1,14,0.1
"B","paroxetine",1,14,0.1
"B","sertraline",1,14,0.1
"Ref","citalopram",0.952,21,0.1
"Ref","escitalopram",0.952,21,0.1
"Ref","fluoxetine",0.952,21,0.1
"Ref","paroxetine",0.905,21,0.1
"Ref","sertraline",0.952,21,0.1
"Lumped","citalopram",0.72,25,0.1
"Lumped","escitalopram",0.64,25,0.1
"Lumped","fluoxetine",0.64,25,0.1
"Lumped","paroxetine",0.2,25,0.1
"Lumped","sertraline",0.76,25,0.1
"A","citalopram",1,12,0.05
"A","escitalopram",1,12,0.05
"A","fluoxetine",1,12,0.05
"A","paroxetine",0.917,12,0.05
"A","sertraline",0.917,12,0.05
"B","citalopram",1,7,0.05
"B","escitalopram",1,7,0.05
"B","fluoxetine",1,7,0.05
"B","paroxetine",1,7,0.05
"B","sertraline",1,7,0.05
"Ref","citalopram",0.85,20,0.05
"Ref","escitalopram",0.95,20,0.05
"Ref","fluoxetine",1,20,0.05
"Ref","paroxetine",0.9,20,0.05
"Ref","sertraline",0.95,20,0.05
"Lumped","citalopram",0.71,31,0.05
"Lumped","escitalopram",0.645,31,0.05
"Lumped","fluoxetine",0.774,31,0.05
"Lumped","paroxetine",0.194,31,0.05
"Lumped","sertraline",0.935,31,0.05
"A","citalopram",1,8,0.01
"A","escitalopram",1,8,0.01
"A","fluoxetine",1,8,0.01
"A","paroxetine",0.875,8,0.01
"A","sertraline",1,8,0.01
"B","citalopram",1,9,0.01
"B","escitalopram",1,9,0.01
"B","fluoxetine",0.889,9,0.01
"B","paroxetine",0.889,9,0.01
"B","sertraline",1,9,0.01
"Ref","citalopram",1,17,0.01
"Ref","escitalopram",1,17,0.01
"Ref","fluoxetine",0.941,17,0.01
"Ref","paroxetine",0.765,17,0.01
"Ref","sertraline",1,17,0.01
"Lumped","citalopram",0.633,30,0.01
"Lumped","escitalopram",0.533,30,0.01
"Lumped","fluoxetine",0.833,30,0.01
"Lumped","paroxetine",0.133,30,0.01
"Lumped","sertraline",0.933,30,0.01
