"model","median_rho","mean_rho","q25","q75","n_reps","tau"
"A",-0.7,-0.7,-0.9,-0.6,36,0.2
"B",-0.7,-0.718518518518518,-0.9,-0.6,27,0.2
"Ref",-0.8,-0.765,-0.9,-0.675,40,0.2
"Lumped",0.7,0.641176470588235,0.425,0.9,34,0.2
"A",-0.7,-0.705555555555555,-0.9,-0.7,18,0.15
"B",-0.7,-0.715,-0.9,-0.7,20,0.15
"Ref",-0.7,-0.707142857142857,-0.9,-0.6,28,0.15
"Lumped",0.9,0.737931034482758,0.5,0.9,29,0.15
"A",-0.8,-0.778947368421052,-0.9,-0.7,19,0.1
"B",-0.9,-0.821428571428571,-0.975,-0.725,14,0.1
"Ref",-0.8,-0.780952380952381,-0.9,-0.8,21,0.1
"Lumped",0.9,0.788,0.8,0.9,25,0.1
"A",-0.7,-0.625,-0.9,-0.4,12,0.05
"B",-0.9,-0.7,-0.9,-0.5,7,0.05
"Ref",-0.9,-0.795,-1,-0.675,20,0.05
"Lumped",0.9,0.764516129032258,0.7,0.9,31,0.05
"A",-0.8,-0.775,-0.9,-0.775,8,0.01
"B",-0.9,-0.822222222222222,-0.9,-0.8,9,0.01
"Ref",-0.9,-0.841176470588235,-0.9,-0.8,17,0.01
"Lumped",0.7,0.613333333333333,0.5,0.9,30,0.01
