"agent","median_rank","mean_rank","sucra","model","Class","agent_clean"
"agomelatine_37.6",8,8.74566666666667,0.63115873015873,"Model A","Atypical","Agomelatine"
"amitriptyline_73.575",19,17.68,0.205714285714286,"Model A","TCA","Amitriptyline"
"bupropion_34.5",6,6.00333333333333,0.761746031746032,"Model A","Atypical","Bupropion"
"citalopram_60",12,12.0566666666667,0.473492063492064,"Model A","SSRI","Citalopram"
"clomipramine_51.6",17,15.817,0.294428571428571,"Model A","TCA","Clomipramine"
"desvenlafaxine_40",8,8.551,0.640428571428571,"Model A","SNRI","Desvenlafaxine"
"duloxetine_39.96",19,18.907,0.147285714285714,"Model A","SNRI","Duloxetine"
"escitalopram_44.44",16,15.662,0.301809523809524,"Model A","SSRI","Escitalopram"
"fluoxetine_60",16,15.4423333333333,0.312269841269841,"Model A","SSRI","Fluoxetine"
"fluvoxamine_55.8",3,3.03233333333333,0.903222222222222,"Model A","SSRI","Fluvoxamine"
"levomilnacipran_24",8,9.36633333333333,0.601603174603175,"Model A","SNRI","Levomilnacipran"
"milnacipran_40",8,8.94866666666667,0.621492063492064,"Model A","SNRI","Milnacipran"
"mirtazapine_35.28",14,14.0673333333333,0.377746031746032,"Model A","Atypical","Mirtazapine"
"nefazodone_22.5",4,6.027,0.760619047619048,"Model A","SARI","Nefazodone"
"paroxetine_47.04",14,13.793,0.390809523809524,"Model A","SSRI","Paroxetine"
"reboxetine_34.48",22,21.9063333333333,0.0044603174603175,"Model A","Atypical","Reboxetine"
"sertraline_81.2",2,2.74833333333333,0.916746031746032,"Model A","SSRI","Sertraline"
"trazodone_15",7,8.97733333333333,0.620126984126984,"Model A","SARI","Trazodone"
"venlafaxine_100.5",18,17.7596666666667,0.201920634920635,"Model A","SNRI","Venlafaxine"
"vilazodone_40",11,11.015,0.523095238095238,"Model A","Atypical","Vilazodone"
"vortioxetine_40",14,13.6563333333333,0.39731746031746,"Model A","Atypical","Vortioxetine"
"agomelatine_37.6",9,9.05033333333333,0.616650793650794,"Model B","Atypical","Agomelatine"
"amitriptyline_73.575",19,17.5833333333333,0.21031746031746,"Model B","TCA","Amitriptyline"
"bupropion_34.5",5,5.56933333333333,0.782412698412698,"Model B","Atypical","Bupropion"
"citalopram_60",12,11.7526666666667,0.487968253968254,"Model B","SSRI","Citalopram"
"clomipramine_51.6",17,15.7446666666667,0.297873015873016,"Model B","TCA","Clomipramine"
