"agent","Class","Model A","Model B","Ref: Linear","Lumped NMA"
"bupropion_34.5","Atypical",0.761746031746032,0.782412698412698,0.753777777777778,0.27162962962963
"agomelatine_37.6","Atypical",0.63115873015873,0.616650793650794,0.633444444444444,0.346481481481481
"vilazodone_40","Atypical",0.523095238095238,0.509380952380952,0.528873015873016,0.646
"vortioxetine_40","Atypical",0.39731746031746,0.405206349206349,0.398809523809524,0.342092592592593
"mirtazapine_35.28","Atypical",0.377746031746032,0.292920634920635,0.401555555555556,0.822111111111111
"reboxetine_34.48","Atypical",0.0044603174603175,0.00317460317460316,0.00411111111111106,0.998092592592593
"nefazodone_22.5","SARI",0.760619047619048,0.751333333333333,0.763666666666667,NA
"trazodone_15","SARI",0.620126984126984,0.549666666666667,0.623587301587302,0.636259259259259
"desvenlafaxine_40","SNRI",0.640428571428571,0.64315873015873,0.630873015873016,0.415259259259259
"milnacipran_40","SNRI",0.621492063492064,0.573666666666667,0.635079365079365,0.470240740740741
"levomilnacipran_24","SNRI",0.601603174603175,0.603888888888889,0.601777777777778,NA
"venlafaxine_100.5","SNRI",0.201920634920635,0.255793650793651,0.187492063492064,0.503240740740741
"duloxetine_39.96","SNRI",0.147285714285714,0.203634920634921,0.14552380952381,0.671351851851852
"sertraline_81.2","SSRI",0.916746031746032,0.888984126984127,0.921174603174603,0.118592592592593
"fluvoxamine_55.8","SSRI",0.903222222222222,0.885571428571429,0.909507936507937,0.190481481481481
"citalopram_60","SSRI",0.473492063492064,0.487968253968254,0.458555555555556,0.178537037037037
"paroxetine_47.04","SSRI",0.390809523809524,0.455761904761905,0.386190476190476,0.566074074074074
"fluoxetine_60","SSRI",0.312269841269841,0.368888888888889,0.300571428571429,0.360944444444444
"escitalopram_44.44","SSRI",0.301809523809524,0.277746031746032,0.304825396825397,0.743925925925926
"clomipramine_51.6","TCA",0.294428571428571,0.297873015873016,0.296349206349206,0.493740740740741
"amitriptyline_73.575","TCA",0.205714285714286,0.21031746031746,0.206952380952381,0.724944444444444
