"model","agent","coverage","n_reps"
"A","citalopram",0.957,46
"A","escitalopram",0.913,46
"A","fluoxetine",0.935,46
"A","paroxetine",0.913,46
"A","sertraline",0.978,46
"B","citalopram",0.933,45
"B","escitalopram",0.933,45
"B","fluoxetine",0.956,45
"B","paroxetine",0.978,45
"B","sertraline",0.956,45
"Ref","citalopram",0.959,49
"Ref","escitalopram",0.918,49
"Ref","fluoxetine",0.939,49
"Ref","paroxetine",0.898,49
"Ref","sertraline",0.959,49
"Lumped","citalopram",0.727,44
"Lumped","escitalopram",0.841,44
"Lumped","fluoxetine",0.841,44
"Lumped","paroxetine",0.5,44
"Lumped","sertraline",0.955,44
