"prior","agent","sucra"
"U(0, 2)","citalopram_20",0.1866
"U(0, 2)","escitalopram_20",0.430066666666667
"U(0, 2)","fluoxetine_20",0.7166
"U(0, 2)","paroxetine_20",0.0933999999999999
"U(0, 2)","sertraline_20",0.6176
"U(0, 5)","citalopram_20",0.182066666666667
"U(0, 5)","escitalopram_20",0.4312
"U(0, 5)","fluoxetine_20",0.718933333333333
"U(0, 5)","paroxetine_20",0.1002
"U(0, 5)","sertraline_20",0.607933333333333
"U(0, 10)","citalopram_20",0.184466666666667
"U(0, 10)","escitalopram_20",0.424133333333333
"U(0, 10)","fluoxetine_20",0.714533333333333
"U(0, 10)","paroxetine_20",0.0938000000000001
"U(0, 10)","sertraline_20",0.623933333333333
"HN(0, 0.5)","citalopram_20",0.186333333333333
"HN(0, 0.5)","escitalopram_20",0.429
"HN(0, 0.5)","fluoxetine_20",0.718333333333333
"HN(0, 0.5)","paroxetine_20",0.0872666666666667
"HN(0, 0.5)","sertraline_20",0.6242
"HN(0, 1)","citalopram_20",0.1882
"HN(0, 1)","escitalopram_20",0.427133333333333
"HN(0, 1)","fluoxetine_20",0.720933333333333
"HN(0, 1)","paroxetine_20",0.0911333333333333
"HN(0, 1)","sertraline_20",0.612466666666667
"HN(0, 2)","citalopram_20",0.1948
"HN(0, 2)","escitalopram_20",0.4222
"HN(0, 2)","fluoxetine_20",0.7186
"HN(0, 2)","paroxetine_20",0.0878
"HN(0, 2)","sertraline_20",0.619533333333333
"HC(0, 0.5)","citalopram_20",0.189333333333333
"HC(0, 0.5)","escitalopram_20",0.420333333333333
"HC(0, 0.5)","fluoxetine_20",0.7176
"HC(0, 0.5)","paroxetine_20",0.0927333333333333
"HC(0, 0.5)","sertraline_20",0.621466666666667
"LN(-2.34, 1.62²)","citalopram_20",0.185066666666667
"LN(-2.34, 1.62²)","escitalopram_20",0.428666666666667
"LN(-2.34, 1.62²)","fluoxetine_20",0.719933333333333
"LN(-2.34, 1.62²)","paroxetine_20",0.0910666666666666
"LN(-2.34, 1.62²)","sertraline_20",0.615333333333333
