"agent","median_rank","mean_rank","sucra","model","agent_clean"
"citalopram_60",5,5.181,0.1638,"Model A","Citalopram"
"escitalopram_62.2222222222222",4,3.92933333333333,0.414133333333333,"Model A","Escitalopram"
"fluoxetine_60",2,2.34133333333333,0.731733333333333,"Model A","Fluoxetine"
"paroxetine_47.0588235294118",5,5.03233333333333,0.193533333333333,"Model A","Paroxetine"
"sertraline_81.1359026369168",3,3.312,0.5376,"Model A","Sertraline"
"citalopram_60",5,5.12966666666667,0.174066666666667,"Model B","Citalopram"
"escitalopram_62.2222222222222",4,3.79466666666667,0.441066666666667,"Model B","Escitalopram"
"fluoxetine_60",2,2.32566666666667,0.734866666666667,"Model B","Fluoxetine"
"paroxetine_47.0588235294118",5,4.98766666666667,0.202466666666667,"Model B","Paroxetine"
"sertraline_81.1359026369168",3,3.63,0.474,"Model B","Sertraline"
"citalopram_60",5,5.22066666666667,0.155866666666667,"Ref: Linear","Citalopram"
"escitalopram_62.2222222222222",4,4.03033333333333,0.393933333333333,"Ref: Linear","Escitalopram"
"fluoxetine_60",2,2.41766666666667,0.716466666666667,"Ref: Linear","Fluoxetine"
"paroxetine_47.0588235294118",5,5.20133333333333,0.159733333333333,"Ref: Linear","Paroxetine"
"sertraline_81.1359026369168",3,2.778,0.6444,"Ref: Linear","Sertraline"
"citalopram_60",3,2.91766666666667,0.520583333333333,"Lumped NMA","Citalopram"
"escitalopram_62.2222222222222",4,3.629,0.34275,"Lumped NMA","Escitalopram"
"fluoxetine_60",5,4.51266666666667,0.121833333333333,"Lumped NMA","Fluoxetine"
"paroxetine_47.0588235294118",2,2.14333333333333,0.714166666666667,"Lumped NMA","Paroxetine"
"sertraline_81.1359026369168",1,1.79733333333333,0.800666666666667,"Lumped NMA","Sertraline"
